id,name,text,trans
0-chapter_name,,第5話 血と記憶,第5话 血与记忆
0-synopsis,,モルドレッドはヴェインから、フェードラッヘに残してきた仲間達はモルドレッドが王だからこそヒベルグライフとは対話ができると思っていると聞き、安堵する。そして、封印された己の記憶の中にあるはずのドルイドの秘術を取り戻すために、故郷であるドルイドの聖地トゥアハへと向かうマーリンに同行し、雪の山道を馬で辿っていた。,莫德雷德从维恩口中得知，留在菲德拉赫的伙伴们正因为莫德雷德是王，才相信海伯格莱夫能够与他们展开对话，因而放下心来。随后，为了取回理应存在于自己被封印的记忆中的德鲁伊秘术，他与准备前往故乡——德鲁伊圣地图阿哈的梅林同行，骑马跋涉在积雪的山路上。
8,モルドレッド/莫德雷德,…………,…………
9,マーリン/梅林,…………,…………
10,,モルドレッドとマーリンの\nふたりは、王都から少し離れた\n山道を馬で辿っている。,莫德雷德与梅林二人骑着马，\n行进在离王都稍远的山路上。
11,マーリン/梅林,…………,…………
12,モルドレッド/莫德雷德,（はあ……そうそう会話が\n続かねぇんだよなぁ……）,（唉……果然没法把话题\n一直聊下去啊……）
13,モルドレッド/莫德雷德,（まあ、こいつとふたりで\n楽しいおしゃべりができるとは\n思ってねぇけどさ）,（不过，我本来也没指望\n能跟这家伙两个人愉快地聊天就是了）
14,モルドレッド/莫德雷德,（今は封印のある城からあんまり\n離れたくないって言う\nグリフィスも留守番だし……）,（格里菲斯说现在不想离\n封印所在的城堡太远，\n也留下来看家了……）
15,モルドレッド/莫德雷德,（あーあ……ヴェイン副団長はもう、\nフェードラッヘに帰ったかな……）,（唉……维恩副团长\n已经回到菲德拉赫了吗……）
21,ヴェイン/维恩,──というわけで、\nフェードラッヘとしては、是非\n貴国とも協力体制を取りたく……,──所以说，菲德拉赫方面\n希望能与贵国建立合作关系……
22,ヴェイン/维恩,っていう親書を持ってきたんだけど\nちょっとした事故で\n紛失してしまいまして……,我是带着这样一封亲笔信来的，\n可因为一点意外，\n不小心把它弄丢了……
23,モルドレッド/莫德雷德,大丈夫ですよ。\nそれなら……,没关系。\n那封信的话……
25,モルドレッド/莫德雷德,ちゃんとあるんで。,好好地在我这里。
26,ヴェイン/维恩,あれっ！？　なんで！？,咦！？　为什么！？
27,モルドレッド/莫德雷德,ロウリーが渡してくれました。\nあいつ、はっきり言わなかったけど\nなんかあったんですよね？,是罗利交给我的。\n那家伙没明说，\n但你们之间发生过什么吧？
28,モルドレッド/莫德雷德,ロウリーが失礼なことしたんなら……\nすみませんでした。\nオレが代わりに謝ります。,要是罗利做了什么失礼的事……\n对不起。\n我替他向您道歉。
29,ヴェイン/维恩,いや、謝る必要なんてない……\nあー、ありませんよ。,不，你用不着道歉……\n呃，您不必向我道歉。
30,モルドレッド/莫德雷德,なんか……ヴェイン副団長に\n敬語を使われるの\n落ち着かないんですけど……,怎么说呢……维恩副团长\n对我说敬语，\n让我感觉很不自在……
31,ヴェイン/维恩,そうは言っても……\nヒベルグライフの王様相手ですからね。,话虽如此……\n毕竟您是海伯格莱夫的国王嘛。
32,モルドレッド/莫德雷德,今はよくないですか？\nオレしかいないんだし。,现在就不用了吧？\n这里又只有我一个人。
33,ヴェイン/维恩,……んー、それじゃあ今だけ、\nお言葉に甘えようかな。\nモルドレッド。,……嗯——那就只限现在，\n恭敬不如从命吧。\n莫德雷德。
34,モルドレッド/莫德雷德,へへっ……はい！,嘿嘿……好！
35,モルドレッド/莫德雷德,って言っても、今はオレも\nあんまり時間がないんですよ。\n先に済ませたいことがあって……,不过，我现在也\n没多少时间。\n有件事想先处理完……
36,モルドレッド/莫德雷德,でも、フェードラッヘからの\n申し出はもちろん嬉しいです！\n是非、前向きに進めたい。,但菲德拉赫的提议，\n我当然很高兴！\n希望双方能积极推进这件事。
37,モルドレッド/莫德雷德,オレ個人の感情を抜きにしても\n今のヒベルグライフには\n必要なことだと思うから……,就算撇开我的个人感情，\n我也觉得这是如今的海伯格莱夫\n所需要的……
38,ヴェイン/维恩,ありがとな。\n今はそれで充分だよ。,谢谢。\n现在有你这句话就足够了。
39,ヴェイン/维恩,俺はとりあえず一度国に戻って、\nお前から前向きな返事を\nもらえたってことを知らせる。,我先回一趟国，\n把你给了积极答复的事\n告诉大家。
40,ヴェイン/维恩,それから、改めて話し合いの場を\n設けることになると思うから……\nまた連絡するな。,之后应该会再安排一场\n正式磋商……\n到时我再联系你。
41,モルドレッド/莫德雷德,はい！　わかりました。\nありがとうございます。,好！　我明白了。\n谢谢您。
42,モルドレッド/莫德雷德,本当に……助かります。,真的……帮大忙了。
43,モルドレッド/莫德雷德,フェードラッヘにとって\nヒベルグライフは\n得体の知れない国のはずなのに……,对菲德拉赫来说，\n海伯格莱夫明明应该是个\n摸不清底细的国家……
44,ヴェイン/维恩,確かに、フェードラッヘと\nヒベルグライフは、長い間\n関わりがなかったけど……,菲德拉赫和海伯格莱夫\n确实很长一段时间\n都没有来往……
45,ヴェイン/维恩,今は違うだろ。\nだって、お前がいるんだから。,但现在不一样了吧。\n因为有你在啊。
46,モルドレッド/莫德雷德,オレ……？,我……？
47,ヴェイン/维恩,ああ！　アーサーもランスロットも、\nお前がいるなら大丈夫だって、\n自信をもって俺を送り出してくれたぞ。,对！　亚瑟和兰斯洛特都很有信心，\n说只要有你在就没问题，\n这才放心派我过来的。
48,モルドレッド/莫德雷德,そっか……,这样啊……
49,モルドレッド/莫德雷德,オレ……裏切り者だと\n思われてるわけじゃ\nないんですね……？,大家……并没有把我\n当成叛徒吧……？
50,ヴェイン/维恩,思ってないよ。\n当たり前だろ。,当然没有。\n这还用说吗。
51,モルドレッド/莫德雷德,っ、良かった……\nありがとう、ございます……！,唔，太好了……\n谢、谢谢您……！
54,モルドレッド/莫德雷德,でも、オレがヒベルグライフの王に\nなって……,可是，我当上海伯格莱夫的王\n之后……
55,モルドレッド/莫德雷德,何年後かに。万が一アーサーの奴が\nフェードラッヘの騎士団長に\nなったらさ……,假如几年后，亚瑟那家伙\n万一当上了菲德拉赫的骑士团长……
56,モルドレッド/莫德雷德,少なくとも、ヒベルグライフと\nフェードラッヘの間に\nそういうすれ違いはなくなるだろ。,至少海伯格莱夫和菲德拉赫之间\n就不会产生那种误会了吧。
57,モルドレッド/莫德雷德,もし揉め事が起こっても、\nオレ達が殴り合って\n解決したらいいしな。,就算发生争端，\n让我们打一架\n解决就行了。
58,モルドレッド/莫德雷德,そうすれば、平和に暮らしてる人達や\n関係ない子どもが、血を流したり\n泣いたり、飢えたりしなくてすむ。,这样一来，那些过着安稳日子的人\n和无辜的孩子，就不必流血、\n哭泣或挨饿了。
61,モルドレッド/莫德雷德,（ひとりよがりじゃ、\nなかったんだ……！）,（原来……\n不是我一厢情愿……！）
62,,ヴェインは、\n俯くモルドレッドに歩み寄り、\nまだ細いその肩をそっと叩く。,维恩走近低着头的莫德雷德，\n轻轻拍了拍他仍显单薄的肩膀。
63,ヴェイン/维恩,がんばったな、モルドレッド。,你已经很努力了，莫德雷德。
64,モルドレッド/莫德雷德,っ……,唔……
65,ヴェイン/维恩,この島を取り巻く状況は\n油断ならないし、まだまだ\n大変なことは続くだろうけど……,这座岛周围的局势\n依然不容松懈，今后肯定还会\n遇到不少难关……
66,ヴェイン/维恩,フェードラッヘとヒベルグライフの\n関係は、この先きっと良くなっていく。\nそれは間違いないよ。,但菲德拉赫与海伯格莱夫的关系，\n今后一定会越来越好。\n这一点绝对不会错。
67,モルドレッド/莫德雷德,はい……！,是……！
73,モルドレッド/莫德雷德,（もう少し、ヴェイン副団長と\n話してたかったけど……\nそうも言ってらんねーよな）,（虽然还想再跟维恩副团长\n多聊一会儿……\n但现在也不是留恋的时候）
74,モルドレッド/莫德雷德,（マーリンのことも\n放っておけねぇから……）,（毕竟我也不能\n放着梅林不管……）
77,モルドレッド/莫德雷德,待て、マーリン！\n話はオレが聞くから……,等等，梅林！\n我会听你说的……
78,マーリン/梅林,…………,…………
81,マーリン/梅林,ユーウェイン様、\nひとつお願いがございます。,尤文大人，\n我有一事相求。
