id,en,jp,trans
0-chapter_name,73: Orchis and Orchid,第73章　オルキスとオーキス,第73章欧尔姬丝与欧姬丝
0-synopsis,"Fresh footprints of imperial soldiers are found at the abandoned area, and Lyria detects faint traces of dark essence belonging to Freesia. Preparing for the worst, the party makes their way toward the tower where Orchis is being held.",廃墟に到着すると、空っぽの建物内には帝国兵のものと思われる真新しい足跡があり、ルリアはそこで、かすかに残るフリーシアの魔晶の力を感じ取る。フリーシアの持つ魔晶の力が暴走している事を知った姬塔一行は、この先に待ち受ける最悪の事態に身構えながら、タワーへと歩みを進めるのだった。,到达废墟之后，姬塔一行在空荡荡的建筑物中发现了疑似帝国军留下的崭新的脚印，露莉亚则从那里感受到了芙莉西雅残留的魔晶之力。姬塔一行知道了芙莉西雅所持的魔晶之力已经失控，并做好了迎接最坏展开的准备，向高塔进发。
2,姬塔 and the crew visit the ruins where Freesia was last seen.,<span class='scene-font-katari'>タワーへと向かう道すがら、</span><br><span class='scene-font-katari'>フリーシアが立ち寄ったという</span><br><span class='scene-font-katari'>寂れた廃墟を訪れる姬塔一行。</span>,<span class='scene-font-katari'>姬塔等人在前往高塔的途中转去了芙莉西雅之前来过的死寂的废墟。</span>
3,"Unfortunately, they find that the ruins leave no clues to help them.",<span class='scene-font-katari'>しかし、姬塔達の期待に反して</span><br><span class='scene-font-katari'>そこには何も残されてはいなかった。</span>,<span class='scene-font-katari'>然而与众人所预期的相反，这里已经什么都没有留下了。</span>
4,"It's, like, completely empty here.",なんていうか……<br>からっぽ、って感じね。,该怎么说呢……这里好像空无一物呢。
5,"There's nothing left, but there used to be something here.",いまは何も無いけど……<br>本当はここに<br>何かあったんじゃない？,虽然现在这里什么都没有，但是应该发生过什么吧？
6,It seems that way. There are some unnatural traces left behind.,そうね……<br>所々に不自然な跡が残ってるわ。,是的，这里到处都残留着些不自然的痕迹。
7,"Undoubtedly, something was here not too long ago.",つい最近まで、<br>ここに何かがあったのは、<br>間違いないでしょうね。,毫无疑问，不久前这里发生过什么。
8,Hm.,ふむ……,嗯……
9,"What is it, Captain Pommern？",どうなさいましたか？<br>ポンメルン大尉。,怎么了，伯梅伦大尉？
10,Pommern looks puzzled as he points to an area on the ground.,<span class='scene-font-katari'>リーシャに声をかけられ、</span><br><span class='scene-font-katari'>不可解そうな様子でポンメルンは</span><br><span class='scene-font-katari'>床を指さす。</span>,<span class='scene-font-katari'>莉夏向伯梅伦搭话，而后者一副困惑地指向了地板。</span>
11,Footprints.,足跡、ですよォ……,这里有脚印。
12,"Without a doubt, these footprints were made by Empire-issued military gear, I do say.",この足跡は間違いなく、<br><span class='scene-font-place'>エルステ帝国</span>で支給される<br>鎧のものですネェ……,这个脚印毫无疑问是<span class='scene-font-place'>埃尔斯特帝国</span>的制式军靴留下的。
13,"But this place used to be a government lab. It's not unusual to see a soldier's footprint or two, right？",元々帝国の研究所だったってんだ。<br>帝国兵の足跡があるのは<br>珍しくないんじゃねぇか？,这里原本是帝国的研究所，有帝国军的脚印也没什么好奇怪的吧？
14,"Even so, these footprints are too fresh.",それにしては……<br>足跡が新しすぎるように<br>見えるんですよネェ……,话是这样说，但这里的脚印实在太新了。
15,"The crew seems confused, but just then, Lyria senses something.",<span class='scene-font-katari'>一行がそれぞれ首を捻っていると、</span><br><span class='scene-font-katari'>ルリアが不意に自らの能力を発動させる。</span>,<span class='scene-font-katari'>就在众人挠头不解之时，露莉亚忽然发动了自己的能力。</span>
17,"It's here. It's faint, but dark essence remains.",っ……！<br>ここ……<br>少しだけど魔晶の力が残ってます……,啊！这里……残留着一点点魔晶之力！
18,Yikes. Then that means that we're about to battle something big like last time.,うげ……てことはやっぱり。<br>この間みてーな戦いは<br>避けらんねぇんだよな……,呃呃……果然这次也要遭遇和上次一样的战斗了吗？
19,And there's more. It's Freesia's dark essence.,それになんだか、この感じ……<br>もしかして、<br>フリーシアさんの魔晶は……,而且不知怎的，这种感觉是……难道说芙莉西雅的魔晶……
20,But it's out of control？,暴走……してる？,失控……了？
21,"Lyria grows silent, and a chill fills the air.",<span class='scene-font-katari'>ルリアが零したその言葉に、</span><br><span class='scene-font-katari'>姬塔一行は戦慄する。</span>,<span class='scene-font-katari'>露莉亚的话令姬塔一行感到毛骨悚然。</span>
22,The crew prepares for the worst as they set off again for the tower.,<span class='scene-font-katari'>ルリアが示した</span><br><span class='scene-font-katari'>最悪の可能性に身構えながら、</span><br><span class='scene-font-katari'>一行はいよいよタワーへと歩みを進める。</span>,<span class='scene-font-katari'>在心里做好最坏的打算后，一行人继续向高塔迈进。</span>
info,1,1,scene_cp73_q2_s10
