id,en,jp,trans
0-chapter_name,73: Orchis and Orchid,第73章　オルキスとオーキス,第73章 欧尔姬丝与欧姬丝
0-synopsis,Lyria spots a decrepit food stall in the street which prompts Pommern to reminisce about happier times and vows to bring back those peaceful days. A townsperson recognizes Pommern and reports seeing Freesia with a young girl walking through an abandoned area.,フリーシアが待つタワーを目指す道すがら、ルリアが店主の居ないオデンの屋台を見つける。平和だった頃の街の賑わいを思い、ポンメルンは街がかつての活気ある姿へと戻れるよう尽力していく、と決意を見せる。その後、街の住人から廃墟でのフリーシアの目撃情報を得た姬塔一行は、タワーに向かう前にその廃墟へと立ち寄る。,在赶向芙莉西雅所在的高塔途中，露莉亚见到了店主已经不在的好炖小店。伯梅伦回想起城市以往繁荣的样子，下定决心要尽力恢复这座城市的活力。在那之后，姬塔一行从居民那里得到了在废墟地带见到过芙莉西雅的情报，决定在去高塔之前先去废墟看看。
0,姬塔 and the crew are headed for the tower with Pommern and his soldiers in tow.,<span class='scene-font-katari'>ポンメルン率いる兵士達と共に</span><br><span class='scene-font-katari'>フリーシアが指定したタワーを目指す</span><br><span class='scene-font-katari'>姬塔一行。</span>,姬塔等人与伯梅伦及其士兵们<br>一同赶向芙莉西雅指定会面的高塔。
1,"Along the way, they come across a desolate area of shops.",<span class='scene-font-katari'>その道すがら、一行は</span><br><span class='scene-font-katari'>寂れてしまった商店街を通りかかる。</span>,他们途经了已经寂寥无人的商店街。
2,Hm？Oh-den？What's that？,あれ……なんですか？<br>あの、オデン、って……,诶，那是什么？<br>那个，叫做“好炖”的东西……
3,Lyria points to a single abandoned stall.,<span class='scene-font-katari'>不思議そうなルリアが指差す先には、</span><br><span class='scene-font-katari'>店主を欠いたひとつの屋台が</span><br><span class='scene-font-katari'>放置されていた。</span>,露莉亚指向了一处<br>已经失去了店主，<br>就此空置在那的摊位。
4,"Ah, oden is a local dish from 奥古斯提.",ああ……<br>オデンは確か、<br><span class='scene-font-place'>アウギュステ</span>の郷土料理だな。,哦……<br>好炖是<span class='scene-font-place'>奥古斯提</span>的乡土料理。
5,I think it's a mix of ingredients like dried fish and seafood stewed in fish stock.,魚のすり身などの具材を<br>海藻や魚の干物と<br>煮込んだものだったか……,是把鱼糜之类的食材，<br>和海藻、鱼干一起<br>炖煮出来的小吃来着……
6,Hm...,へぇ……,诶……
7,"Oops, I'm sorry！I didn't know that word, so I was just curious.",……あ、ご、ごめんなさい！<br>知らない言葉だったから、<br>ちょっとだけ気になっちゃって……,哦，对不起！<br>我之前没听过这个词，<br>所以有点好奇……
8,Let's just hurry and rescue Orchis！,いまはとにかく、<br>早くオルキスちゃんを<br>助けに行かないと……！,现在得快点<br>去救出小欧尔姬丝才行！
9,"Lyria begins to walk quickly, but Pommern catches up and matches her stride.",<span class='scene-font-katari'>慌てて進もうとするルリアの隣に、</span><br><span class='scene-font-katari'>歩調を合わせるようにして</span><br><span class='scene-font-katari'>ポンメルンが並ぶ。</span>,伯梅伦配合着快步前进的露莉亚的步调，<br>在她身边并行。
10,"That oden there had a unique flavor, I do say.",ここのオデンは、<br>ずいぶんと出汁に<br>こだわっていてですネェ……,这里的好炖很是鲜美多汁，<br>我相当喜欢呢。
11,The stallkeeper used to go to 奥古斯提 and pick out the ingredients herself.,店主自ら<span class='scene-font-place'>アウギュステ</span>に出向き、<br>自身の目で食材の買い付けを<br>行っていたそうですよォ。,听说这里的食材，<br>都是店主是亲自前往<span class='scene-font-place'>奥古斯提</span><br>并亲自挑选的。
12,There was nothing more exquisite than the very last scoops from the bottom of the pot; it was just bursting with flavor.,鍋の底でこだわり抜いた出汁に<br>じっくりと煮込まれた食材はまさに、<br>絶品と言う他ありませんでしたネェ……,在锅底用精心烹调的汤汁煮出来的食材，<br>说是人间绝品也不为过。
13,"On cold nights, the troops and I would gather around the steamy pot with the townsfolk.",寒い夜にはよく<br>あの湯気の立ち上る鍋を<br>部下や街の連中と囲んだものですよォ。,在寒冷的夜晚，<br>我的部下和这街上的人<br>经常会围在热气腾腾的锅边享用。
14,Pommern gazes back at the empty stall as a pang of loneliness seeps through his chest.,<span class='scene-font-katari'>ポンメルンは懐かしそうに、</span><br><span class='scene-font-katari'>そして寂しそうに</span><br><span class='scene-font-katari'>人気の無い屋台を見つめる。</span>,伯梅伦怀念着过去，<br>然后看向空无一人的小店，<br>寂寞之情又油然而生。
15,His expression turns serious as he speaks to Lyria again.,<span class='scene-font-katari'>そして今度は真剣な表情で</span><br><span class='scene-font-katari'>ルリアに語りかける。</span>,然后他以十分认真的语气<br>向露莉亚说道：
16,I'll make sure to turn Agastia into a peaceful town where people can enjoy a bowl of oden again.,吾輩は必ず<span class='scene-font-place'>アガスティア</span>を、<br>またオデンをゆっくり食べられるくらい<br>平和な街にしてみせますよォ。,我一定会让<span class='scene-font-place'>阿加斯提亚</span><br>重新成为那个能慢慢品尝好炖的<br>和平城市。
17,"And when I do, you'd better come and help yourself to a bowl, I do say.",そうしたら……<br>この屋台にもオデンを<br>食べに来るといいですネェ。,这样一来，<br>你们也可以来尝尝<br>这家店的好炖了。
18,Yes sir！,……はいっ！,好！
19,"When Agastia is peaceful, I promise to bring everyone for some oden！Orchis and Adam too！",<span class='scene-font-place'>アガスティア</span>が平和になったら……<br>絶対に皆でオデンを食べに来ますね！<br>オルキスちゃんやアダムさんも一緒に！,等<span class='scene-font-place'>阿加斯提亚</span>恢复和平了，<br>一定要和大家一起来吃！<br>还要带上小欧尔姬丝和亚当！
20,Pommern gives Lyria a bright smile.,<span class='scene-font-katari'>ルリアの元気な返事に、</span><br><span class='scene-font-katari'>ポンメルンは満足げな笑みを返す。</span>,听到露莉亚精神十足的话语，<br>伯梅伦以微笑回应。
21,"As they draw closer to the tower, they run into a townsperson who had a strange encounter.",<span class='scene-font-katari'>そのままタワーに向かって進んでいると、</span><br><span class='scene-font-katari'>一行は街の住人から、</span><br><span class='scene-font-katari'>気になる証言を耳にするのだった。</span>,就在众人继续向高塔前进的途中，<br>从城内住民那里听到了一个<br>有些令人在意的情报。
25,Freesia was in those ruins？,フリーシアが、<br>その廃墟に……？,芙莉西雅在那个废墟……？
26,It gave me goosebumps！I'd heard she was locked up in a prison.,ぎょっとしたもんだよ……<br>フリーシア宰相は投獄されたって<br>聞いてたもんだからね……,我吓了一跳呢！<br>之前不是听说芙莉西雅宰相<br>已经被关进牢里了嘛！
27,"I was curious, so I took a closer look and she had a girl with her.",それで気になって見てたら、<br>女の子を連れてて……,我挺在意这件事，<br>就跟过去看了看，<br>发现她还带着一个女孩。
28,"It used to be a government laboratory, I guess？But now it's just a bunch of creepy ruins.",元々政府所有の……<br>何かの研究所だったかな？<br>いまとなっちゃ不気味な廃墟だけど……,那里原本是政府所有的什么研究所吧？<br>虽然现在只是一个<br>令人毛骨悚然的废墟而已。
29,"Since she went in there with a little girl, I figured something was up.",そこに女の子と一緒に<br>入っていくのが見えたから、<br>これは何かあると思ってね。,看到她和女孩子一起进那里，<br>我想一定有什么名堂在里面。
30,"I knew I had to report it to you right away, Pommern.",ポンメルンさんに報せなきゃ、<br>と思って<br>いまのいままで探し回ってたんだよ。,我想我必须把这件事告知伯梅伦先生，<br>然后就一直到处找他。
31,This information is very helpful. It's people like you who are essential to maintaining order.,ありがたい話ですネェ……<br>そういう個人の心がけが、<br>治安維持には必要不可欠なんですよォ。,很感激您提供的情报。<br>这种个人的自觉意识，<br>对治安维持来说也是必不可少的。
32,But now we're talkin' about an abandoned research lab？This is gettin' mighty suspicious.,しっかし……<br>廃墟になっちまった帝国の研究所か……<br>こいつぁキナ臭くなって来たぜ。,但是……<br>已经化为废墟的帝国研究所啊……<br>还真是相当可疑啊。
33,"If it was worth taking a hostage along, then it must be a key place, I suppose.",誘拐した子を<br>連れ歩いて行くくらいだもの<br>よっぽど大事な場所みたいね。,甚至还要把绑架的孩子一起带去，<br>就是这样关键的地方呢。
34,"It's not that far from here, so should we go and take a look at the ruins？",あまり距離も離れていないようですし、<br>その廃墟にも寄ってみましょう。,距离也不是很远，<br>我们去废墟那里看看吧。
35,We might be able to figure out what Freesia's up to this time.,フリーシアが何を計画しているのか、<br>何か掴めるかもしれません。,关于芙莉西雅到底在计划着什么，<br>我们也许可以在那里掌握到什么信息。
info,1,1,scene_cp73_q1_s20
,,,
