id,en,jp,trans
0-chapter_name,,第65章　新たな旅立ち,第65章 新的旅程
0-synopsis,,空域を跨って存在するという<span class='scene-font-place'>ダイダロイトベルト</span>へ向かう姬塔一行。しかし、<span class='scene-font-place'>ダイダロイトベルト</span>の一部は瘴流域に含まれており、近づくにつれ大きくグランサイファーが揺れ始める。そんな瘴流域を渡ることが出来るという七曜の騎士についてリーシャから説明を受けながら、一行は瘴流域によって凶暴化した魔物達と相対する。,姬塔等人向跨越空域的特殊地区——<span class='scene-font-place'>碎石环</span>前进。但是，因为<span class='scene-font-place'>碎石环</span>的一部分处于瘴流域之中，距那里很近时格兰赛法已经开始频繁摇晃，莉夏说明了七曜骑士是能够穿越瘴流域的存在。之后，众人开始应对因为瘴流域的关系而狂暴化的魔物们。
0,,<span class='scene-font-katari'>ビィの過去について鍵を握る</span><br><span class='scene-font-katari'>碧の騎士がこの空域に戻ってくると聞き、</span><br><span class='scene-font-place'>ダイダロイトベルト</span><span class='scene-font-katari'>へ向かう一行。</span>,姬塔等人听说了<br>掌握碧过去关键信息的碧骑士瓦尔弗利德<br>回归的消息后，决定前往碎石环。
1,,<span class='scene-font-katari'>グランサイファーは順調に、</span><br><span class='scene-font-place'>ダイダロイトベルト</span><span class='scene-font-katari'>への</span><br><span class='scene-font-katari'>航路を進むが……</span>,在通往碎石环的途中，<br>格兰赛法航行状态十分良好。
3,,ひゃっ！？,呀！？
4,,もー！　さっきから何なのよ！,真是的！<br>刚才开始就在搞什么呀！
5,,悪ぃ……<br>瘴流域に近づいているせいか、<br>なかなか機体が安定しやがらねぇ……！,不好意思……<br>因为开始接近瘴流域了，<br>船体情况怎样都稳定不下来！
6,,さっきからすっげー揺れてるけど、<br>瘴流域の荒れ様は、<br>これよりもっとすげーんだよな……,从刚刚开始就晃得好厉害呀！<br>瘴流域里的情况<br>一定要比这还要糟糕吧。
7,,なぁなぁ！　リーシャの親父さんは、<br>瘴流域を抜けて、<br>別の空域から来るんだよな？,俺说啊！莉夏的父亲<br>是穿过了瘴流域，<br>从别的空域过来的吧？
8,,ってことは、リーシャの親父さんも、<br>姬塔の親父さんと同じように、<br>空図の欠片を持ってんのか？,难道说莉夏的父亲<br>也和老爹一样持有空图碎片吗？
9,,いえ……<br>私も詳しくは知らないんですが……,虽然我并不清楚详情，\n但应该不是……
10,,七曜の騎士は瘴流域を渡るのに、<br>空図を必要としないそうです。,七曜骑士跨越瘴流域\n似乎并不需要空图。
11,,それは私も聞いたことがあるが……,这件事我也有所耳闻……
13,,ここよりさらに荒れている空を、<br>何の案内も無く航行するとは……<br>にわかに信じがたくなってくるな……,但是比这里航况还要差的地方，<br>不借助任何指引就能航行这种事……
14,,いえ……七曜の騎士と言えど、<br>この状態の瘴流域を<br>渡るわけではないそうです。,不，七曜骑士似乎并不是<br>直接穿过这种状态的瘴流域的。
15,,なに……？<br>それは初耳だな。,什么？<br>这还是第一次听说啊。
16,,本当に小さな頃に聞いた話なので、<br>私もうろ覚えなんですが……,那时候我还很小，<br>所以记得不是很清楚……
17,,確か、七曜の騎士達が仕える、<br>主の特別な力によって、<br>道が開くとか、どうとか……,但我记得，七曜骑士所仕之主<br>好像具有特别的力量，<br>能开辟出航道。
18,,七曜の騎士の……主だと？,七曜骑士之主？
19,,はい……<br>でも、私も詳しいことは……,是的，但是具体的我也……
20,,そういうのも全部、<br>リーシャの親父さんに確認すりゃ、<br>教えてくれんだろ！,只要我们见到莉夏的老爹，\n就能从他那听到全部详情了吧？
21,,それより魔物だ！<br>瘴流域に近いせいか凶暴化してやがる！<br>油断するなよ！　姬塔！,比起这个，魔物来了！<br>可能是因为靠近瘴流域的关系狂暴化了！<br>不要大意哦，姬塔！
info,,1,scene_cp65_q4_s20
,,,
