id,en,jp,trans
0-chapter_name,,第65章　新たな旅立ち,第65章 新的旅程
0-synopsis,,<span class='scene-font-place'>ザンクティンゼル</span>の村人達から歓待を受けた翌朝、迷いを抱えていたオイゲンは、一生を旅の中で終えるため旅を続けることを選ぶ。一方、イオは旅を続ける理由を見つけるために旅を続けると宣言する。こうして一行の旅は再び動き出し、空図の欠片に関する情報を集めるため、姬塔一行はまず秩序の騎空団の資料庫がある<span class='scene-font-place'>アマルティア島</span>へと向かうのだった。,在<span class='scene-font-place'>赞克汀泽</span>接受了村民盛宴款待的次日清晨，之前仍抱有一丝迷茫的欧根，决定将自己的一生都投入到这场旅行当中。另一方面，伊欧宣言道要在旅途中寻找旅行的理由。就这样，众人开始了新的旅行。为了收集空图碎片相关的情报，姬塔等人选择首先前往<span class='scene-font-place'>阿玛提亚岛</span>上秩序骑空团的资料库。
0,,<span class='scene-font-katari'>姬塔の故郷、</span><br><span class='scene-font-place'>ザンクティンゼル</span><span class='scene-font-katari'>で</span><br><span class='scene-font-katari'>一夜を過ごした姬塔一行。</span>,姬塔一行人<br>在故乡<span class='scene-font-place'>赞克汀泽</span>度过了一夜。
1,,<span class='scene-font-katari'>これからの旅への覚悟を固め、<br><span class='scene-font-katari'>仲間達は<br><span class='scene-font-katari'>グランサイファーの前に集合する。,现在他们聚集在格兰赛法前，<br>重新确认此次旅行的决心。
2,,…………,…………
3,,んん……,呜……
4,,イオちゃん……<br>すっごく眠そうですけど、<br>大丈夫ですか？,小伊欧……<br>你看上去很困的样子，<br>没事吧？
5,,ふわ……ん……<br>ずっと考え事してたら、<br>なかなか眠れなくて……,呼哇……<br>昨晚翻来覆地去想事情，<br>几乎没怎么睡呢。
6,,はっはっは！　そりゃ奇遇だな！<br>オレも今朝はちったぁ寝不足でよ。,哈哈哈！真巧啊！<br>我早上也觉得有点睡眠不足啊。
7,,ただ……<br>おかげさんで、しっかり見えたぜ。<br>オレ自身、どうしたいか、ってのがよ。,只是……<br>多亏于此，<br>我现在总算想明白我该做什么了。
8,,結局……最期の瞬間まで、<br>オレは騎空士として空に居てぇんだ。,最终，我还是想作为一名骑空士立于此世，<br>走完余生啊！
9,,<span class='scene-font-place'>アウギュステ</span>で隠居、<br>っつーのも、考えたんだがよ……,虽然也考虑过在<span class='scene-font-place'>奥古斯提</span>安度晚年……
10,,大人しくしてるのなんざ、<br>性にあわねぇのな！<br>きっとアイツもそう言うはずだ……,但是老老实实待在一个地方<br>实在是不符合我的性格！<br>她也一定是这么想的吧。
11,,<span class='scene-font-katari'>オイゲンは</span><br><span class='scene-font-katari'>懐かしい面影を振り返るように、</span><br><span class='scene-font-katari'>手にした愛銃を握りしめる。</span>,欧根不禁回想起了一个令人怀念的面孔，<br>抓紧了自己的爱枪。
12,,だからオレは旅をやめる気はねぇ……<br>姬塔の目指す場所が、<br>空の果て、ってんなら好都合だ。,所以我还没打算放弃呢，<br>既然姬塔打算向天空的尽头迈进，<br>那就正好！
13,,一生、旅を続けられそうだからな！<br>どこまでも付いていくぜ！<br>姬塔！,这将是我一生的旅行啊！<br>无论到哪我都奉陪到底，姬塔！
