id,en,jp,trans
0-chapter_name,"66: Two Knights, Two Worlds",第66章　ふたりの騎士,第66章 两位骑士
0-synopsis,"While 姬塔 and crew are busy helping the Enforcers defend their base, Scarlet Knight Baragona arrives at the other end of the Dydroit Belt. In the distance, he spots a knight in golden armor, her eyes piercing him with a scornful gaze.",姬塔一行が秩序の騎空団の手伝いで魔物退治に勤しむ頃、時を同じくして、緋色の騎士バラゴナが<span class='scene-font-place'>ダイダロイトベルト</span>へと到着する。そしてその眼前には、黄金の甲冑に身を包んだひとりの騎士が、明らかな殺気を放ち佇んでいるのだった。,姬塔等人接受了秩序骑空团的委托，正在忙于击退魔物时，绯骑士巴拉格纳抵达了<span class='scene-font-place'>碎石环</span>。接着，他的眼前出现了一位身着金色甲胄的骑士。她正静立在那里，并对他释放出鲜明的杀气。
0,"Side by side with the Crew of Enforcers, 姬塔 and company drive off a horde of monsters.",<span class='scene-font-katari'>姬塔一行が、</span><br><span class='scene-font-katari'>秩序の騎空団と共に</span><br><span class='scene-font-katari'>魔物を退治していたその頃。</span>,就在姬塔和秩序骑空团一起<br>驱除魔物的时候。
1,"Meanwhile, far away from the central city, a small airship docks at a border island of the Dydroit Belt.",<span class='scene-font-place'>ダイダロイトベルト</span><span class='scene-font-katari'>の中心镇から、</span><br><span class='scene-font-katari'>遠く離れた外縁の島に、</span><br><span class='scene-font-katari'>一隻の小さな騎空艇が停泊していた。</span>,距离碎石环中心镇很远的一个外缘小岛上，<br>一艘小型骑空艇停泊了下来。
2,Are you sure you want to stop here？,――本当にここでいいのかい？,——你确定要停在这里吗？
3,Yes.,ええ……,是的……
4,"I can't get you much further in, but maybe we can get you closer to the central city.",列島の内側にゃ入れねぇけど、<br>も少し中心镇に近いとこにでも<br>泊められっけど……,虽然没法去岛屿的内部，<br>但是还是能停在更靠近中心镇的位置的。
5,"No, here is just fine. You have my thanks.",いいえ……ここで十分です。<br>ありがとうございました。,不，这里就可以了，<br>十分感谢您。
6,"Well... All right. If you say so, mister.",うーん……そうかい？<br>まぁ、兄ちゃんが<br>そう言うならいいけど……,好吧，既然老哥这么说，<br>那就这样了……
7,"The man, still perplexed, leaves Baragona at the island and departs from the Dydroit Belt.",<span class='scene-font-katari'>しきりに首を傾げながらも、</span><br><span class='scene-font-katari'>男はバラゴナを島に残し、</span><br><span class='scene-font-place'>ダイダロイトベルト</span><span class='scene-font-katari'>を離れていく。</span>,男人仍感到很疑惑，<br>但是他还是放下了巴拉格纳，<br>然后离开了<span class='scene-font-place'>碎石环</span>。
8,Baragona smiles as he watches the small airship disappear into the horizon.,<span class='scene-font-katari'>その姿が見えなくなるまで、</span><br><span class='scene-font-katari'>バラゴナは笑顔で、</span><br><span class='scene-font-katari'>小型騎空艇を見送っていた。</span>,巴拉格纳一直微笑着目送这艘小型骑空艇，<br>直到它的影子彻底消失。
9,Now then...,さて……と。,接下来……
10,He trails off as he glances over his shoulder.,<span class='scene-font-katari'>声と共にバラゴナはゆっくりと振り向く。</span>,巴拉格纳嘟囔着，慢慢转过身来。
11,...,…………,
12,"In the distance, he spots a knight in golden armor, her eyes piercing with a scornful gaze.",<span class='scene-font-katari'>すると、その視線の先には、</span><br><span class='scene-font-katari'>黄金の甲冑を纏った騎士がひとり、</span><br><span class='scene-font-katari'>睨みつけるように佇んでいたのだった。</span>,在他视线的前方，<br>身着金色铠甲的骑士站立在有些距离的地方，<br>对巴拉格纳怒目而视。
info,1,1,scene_cp66_q4_s30
