id,en,jp,trans
0-chapter_name,69: What Was Found,第69章　ここにあるもの,第69章 存在于此之物
0-synopsis,"姬塔 and company defeat Kikuri, allowing everyone's memories to return. Meanwhile on Zinkenstill, a suspicious pair appear and try to break into 姬塔's home. Drang and Sturm, who happen to be visiting the island, confront the two strangers.",星晶獣キクリの失控を止め、全ての記憶を取り戻す姬塔達。時を同じくして、姬塔の故郷であるザンクティンゼルには、見慣れぬ来訪者の姿があった。姬塔の家に押し入ろうとする二人組に、休養でザンクティンゼルを訪れていたスツルムとドランクが声をかける。ドランクは瞬時に二人組の正体を見破り、長閑な島に戦いの音が響き渡るのだった。,阻止了星晶兽菊理的失控，众人都取回了所有的记忆。同时，一群不速之客到访了姬塔的故乡赞克汀泽。正要进入姬塔家中的二人组，被正在赞克汀泽度假的斯特姆和德朗克搭上了话。德朗克瞬间识破了二人组的身份。在这座长年与世无争的岛上，响起了剑戟之音。
0,...,――――,————
6,I absorbed the overflow of Kikuri's power. It should stay calm now.,星晶獣キクリの<br>溢れていた力を吸収しました……<br>これで失控も収まるはずです。,我吸收了菊理溢出的力量，<br>这样一来它就不会继续失控了。
7,What was that...,ってこたぁ……,也就是说……
9,！,っ！？,唔！？
11,Ah！,いたっ……！,好疼！
13,Nghh！,くっ……！？,呃……！？
15,Huh？,あん……？,啊？
17,Ugh！,あうっ……！,嗯…！？
18,"The memories return in flashes of light, as they each shake their heads from the shock.",<span class='scene-font-katari'>記憶を失っていた仲間達は、</span><br><span class='scene-font-katari'>皆それぞれ一瞬光に包まれると、</span><br><span class='scene-font-katari'>眉を寄せて頭を抱えていた。</span>,失去记忆的几个人，<br>一瞬间被光所包围，<br>全都都皱起眉头，面露难色。
19,"H-hey, are you all right？",お、おい……大丈夫か？,喂，没事吧？
20,"Yeah. Thanks to all that, it seems my memories are back.",ああ……<br>おかげさんで、<br>記憶も戻ったみたいなんだが……,是啊，多亏于此，<br>我的记忆好像又回来了。
21,...,…………,
22,...,…………,
23,...,…………,
24,...,…………,
25,"It feels like we didn't act too differently, even though we'd lost our memories.",ま、こうして元に戻ってみると、<br>記憶が無くても、「縁」を切られても、<br>大して変わらなかったような気がすんな。,既然能完全恢复原状，\n那么失去了记忆也好，被切断了缘也好，\n也都不是什么大不了的事啊。
26,"Yeah, it was pretty much the same as always.",っていうか、<br>ほとんどいつも通りだったわよね……,不如说还是和往常一样呢。
27,"Ha ha ha！I guess you could say we've been together for so long, nothing'll ever change！",はっはっは！<br>長い付き合いでも、昔っから<br>何にも変わってねぇってこったな！,哈哈哈！<br>毕竟待一起这么久了，<br>和以前相比没什么不同也不奇怪。
28,Good grief. It's no laughing matter！I got a real shock this morning when I found Io and the rest of you missing.,まったく……笑い事じゃないわ。<br>朝、イオちゃん達が居なくなってて、<br>本当に驚いたんだから……,真是的，这并不好笑啊。<br>早上小伊欧你们不见的时候，<br>我是真的很担心。
29,"Well anyway, it's just great that everyone's back to normal！Right, 姬塔？",とにかく、<br>皆、元に戻って本当に良かったです！<br>ね？　姬塔！,总而言之，<br>大家都恢复原样真是太好了，是吧？
30,Lyria gazes at everyone around her with a huge smile on her face.,<span class='scene-font-katari'>集った仲間達に向かいルリアは、</span><br><span class='scene-font-katari'>心からの笑顔で告げる。</span>,露莉亚打量着她周围的每个伙伴，<br>脸上露出灿烂的笑容。
31,"Suddenly, a new piece of the sky map appears in her hands.",<span class='scene-font-katari'>その手にはいつの間にか、</span><br><span class='scene-font-katari'>新たな空図の欠片が</span><br><span class='scene-font-katari'>握られていたのだった。</span>,突然，她手中出现了<br>一块新的空图碎片。
34,Alliah once again falls deep into thought as she watches 姬塔 and company talking happily.,<span class='scene-font-katari'>無邪気に喜びあう姬塔達を</span><br><span class='scene-font-katari'>静かに観察しながら、</span><br><span class='scene-font-katari'>黄金の騎士は思考を巡らせる。</span>, 金骑士阿莉亚看着<br>姬塔和同伴们纯真的笑容，<br>再一次陷入沉思。
35,（What a coincidence meeting this infamous crew here in the Dydroit Belt...）,<span class='scene-font-kokoro'>（まさか例の騎空団と、</span><br><span class='scene-font-kokoro'>このダイダロイトベルトで</span><br><span class='scene-font-kokoro'>遭遇することになるとはな……）</span>,<span class='scene-font-kokoro'>（没想到能在这碎石环<br>遇上那个骑空团……）</span>
36,（I guess the two I dispatched to Zinkenstill are wasting their time.）,<span class='scene-font-kokoro'>（おかげで</span><br><span class='scene-font-kokoro'>ザンクティンゼルに派遣した連中は、</span><br><span class='scene-font-kokoro'>無駄足になってしまったわけだが……）</span>,<span class='scene-font-kokoro'>（派去赞克汀泽的那两人，<br>恐怕要白费功夫了。）</span>
37,Alliah's gaze turns cold toward 姬塔 and the gang.,<span class='scene-font-katari'>アリアは冷たい眼差しで</span><br><span class='scene-font-katari'>姬塔達を見やる。</span>,阿莉亚冷眼看向姬塔等人。
38,"She sets her sights squarely on Vyrn, Lyria, and 姬塔.",<span class='scene-font-katari'>その視線の先には、</span><br><span class='scene-font-katari'>ビィ、ルリア、そして姬塔が、</span><br><span class='scene-font-katari'>しっかりと捉えられていた。</span>,她把目光盯在了<br>碧、露莉亚和姬塔身上。
