id,en,jp,trans
0-chapter_name,67: Crimson Chronicles,第67章　緋色の過去,第67章 绯色的过去
0-synopsis,"姬塔 and company cross blades with Baragona. Pleased with their strength, Baragona gives them his regards and says he must return to his duties. Knowing they won't be able to meet the Blue Knight here, the crew decides to head to Amalthea. The next morning, however, some of the crew don't show at breakfast. When they go to awaken them, they find Rackam with no memory of 姬塔 or the rest of the crew.",バラゴナと刃を交えた姬塔一行。どうにもバラゴナには及ばないが、その強さに満足げな笑みを浮かべたバラゴナは、任務へと戻っていく。その後、碧の騎士と会うことが出来ないと知った一行は<span class='scene-font-place'>アマルティア</span>へと戻ることを決めるが、その翌朝、朝食の時間になっても一部の仲間達は姿を現さず、さらにラカムからは姬塔達の記憶が失われていたのだった。,与巴拉格纳全力交手的姬塔等人，无论如何都不及巴拉格纳的力量。但巴拉格纳却对众人现在的实力感到满足，脸上浮现出了笑容，然后回到自己任务中去了。在那之后，知道了无法与碧骑士会面的一行人决定返回阿玛提亚岛。返程的清早，到了早饭时间还有一部分伙伴没有现身，而拉卡姆甚至失去了姬塔等人有关的的记忆。
1,"姬塔 and company face-off against the Scarlet Knight Baragona, one of the Luminary Knights.",<span class='scene-font-katari'>七曜の騎士がひとり、</span><br><span class='scene-font-katari'>緋色の騎士バラゴナに</span><br><span class='scene-font-katari'>勝負を挑んだ姬塔一行。</span>,姬塔一行人挑战了<br>七曜骑士之一的绯骑士巴拉格纳。
2,"Using teamwork, the crew diverts Baragona's guard and 姬塔 strikes him at full power.",<span class='scene-font-katari'>姬塔の渾身の一撃が、</span><br><span class='scene-font-katari'>仲間達が生み出した隙を突き、</span><br><span class='scene-font-katari'>バラゴナを襲う。</span>,姬塔利用伙伴们创造出的机会，<br>用尽全力击中了巴拉格纳。
3,Hargh！,むっ……！,嗯……！
9,"Whew... Well, that was impressive.",ふ……いや、やはり大したものだ。,呼……呀，真是不得了啊。
10,"Tch... That wasn't bad, but we still can't hold a candle to you.",ちっ……<br>わかっちゃあいたが、<br>まだまだ足元にも及ばねぇか……？,虽然我也想象得到……<br>但果然差得还很远吗。
11,Baragona seems pleased as he sheathes his blade.,<span class='scene-font-katari'>上機嫌そうな笑みを浮かべると、</span><br><span class='scene-font-katari'>バラゴナは自らの剣を納める。</span>,看起来很高兴的巴拉格纳<br>自行收起了剑。
12,I wouldn't say that. You're growing so powerful that you'll catch up to him in no time.,そんなことはありません。<br>貴方達の力は確実に、<br>あの人の域にまで近づきつつあります。,没有这回事。<br>你们的力量确确实实<br>正在逐渐接近那个人的领域。
13,"But, of course, he was always much stronger by himself.",まぁ、ただ……<br>あの人は、たったひとりで、<br>これ以上だったわけですが……,不过，他单凭自己一个人<br>就在你们之上就是了。
14,,,就是说，以我们骑空团全体之力，<br>总算是可以和姬塔的父亲相提并论了吗？
15,"So, you're saying we're only a match for 姬塔's father if we fight him as a team？",つ、つまり……騎空団全体の力で<br>ようやく姬塔の父君ひとりと<br>比べることが出来る、ということか……？,就是说，以我们骑空团全体之力，<br>总算是可以和姬塔的父亲相提并论了吗？
16,Hey！Isn't that kind of unfair？,なにそれ……！<br>そんなの反則じゃないの！？,这算什么啊！<br>这也太破格了吧！？
17,"That's what everyone said about him, too！That he's unfair and rash.",ふふ……あの人と戦った相手は、<br>皆そう言ってたわ……<br>理不尽だ、ありえない、って……,呵呵……和那个人战斗过的对手<br>都是这么说的，<br>不讲道理啊，不可能啊之类的。
18,"But if we can't win alone, we'll just have to get stronger together！",でも……ひとりの力で勝てなくたって、<br>それなら、<br>みんなで強くなればいいんです！,但是一个人的力量赢不了的话，<br>大家一起变得足够强大就可以了。
19,Yep！That's our strategy！,だなっ！<br>これがオイラ達の戦い方だぜ！,是呀！<br>这就是我们的战斗方式。
20,Then I look forward to seeing you again.,ふふ……<br>再び相見えるのが、<br>待ち遠しくなってしまいますね。,哈哈，我已经等不及下一次再见了呢。
21,"With a satisfied grin, Baragona waves his cloak.",<span class='scene-font-katari'>満足そうに笑うと、</span><br><span class='scene-font-katari'>バラゴナはマントを翻す。</span>,巴拉格纳带着满意的笑容，<br>翻了翻他的披风。
22,"Well, I've got duties to attend, so I shall take my leave.",では……<br>七曜の騎士としての任務がありますので、<br>私はこれで……,那么，\n我还有七曜骑士的任务在身，\n先就此告退了。
23,"As one who learned to wield a blade from your father, 姬塔, I look forward to seeing your progress.",姬塔の父君に、<br>剣を習った者として、<br>成長を心から楽しみにしていますよ……,作为从姬塔的父亲那里学得了剑技的人，\n十分期待你们的进一步成长。
24,"And with that, Baragona disappears into the distance.",<span class='scene-font-katari'>そう告げると、</span><br><span class='scene-font-katari'>バラゴナはどこへともなく</span><br><span class='scene-font-katari'>去っていくのだった。</span>,如此说后，巴拉格纳离开了那里，<br>消失在了远方。
30,Good grief. We got a little more than we bargained for there.,まったく……<br>とんでもない事態に<br>遭遇したものだな……,真是遇上<br>出乎意料的事情了啊……
31,"After hearing his story, I can't help but be curious.",あまりの話に、<br>途中からは<br>傍観者に徹させてもらったが……,那话实在太离谱了，<br>所以我从中途开始就选择旁听了……
32,"姬塔, who are you？",姬塔は、<br>本当にいったい何者なんだ……？,姬塔，<br>你到底是何方神圣啊？
33,"Maybe, we're all on this journey to find out just that！",それを見つけるってのも、<br>オイラ達の旅の目的かもな！,我们旅行的目的之一<br>就是去发现它啊。
35,"Ah, it's back！",あ、また……！,啊，又来了！
36,"What's wrong, Lyria？",どうした？　ルリア。,怎么了，露莉亚？
37,"I sensed a primal beast again, but only for a moment. I don't understand...",また星晶獣の気配が……<br>でも、本当に一瞬で、<br>何が何だか……,我又感受到了星晶兽的气息，<br>但是真的只有一瞬间，<br>完全搞不明白……
38,"Now that you mention it, all that noise and trembling was from those two knights, wasn't it？",そういえば結局、<br>あのおっきな音と揺れは、<br>騎士さん達が戦った影響なのよね？,说起来，之前那巨大的声响和摇动<br>果然还是骑士他们的战斗导致的吧？
