id,name,text,trans
1,,幼い頃、私はよく疑問に思っていた。\nグレートウォールは、\nいったい何故、そこにあるのか。,儿时的我常常疑惑，\n长城究竟为什么会在那里呢。
2,,そして、大人になり、\n父から緋色の座を受け継いだ私は、\n同じ問いを繰り返す。,然后，我长大成人，\n并且从父亲手中继承了绯色之座。\n但萦绕在我心头的依然是同样的问题。
3,,ナル・グランデ空域には、\nどうして、グレートウォールが、\n存在してしまったのか。,为什么长城会存在于\n这片纳尔·格兰德空域之中呢。
9,,何故、私達の一族は、\n過酷な運命を\n歩まねばならなかったのか──,为什么，我们一族\n必须走上这条过于残酷的命运之路呢——
15,,「天罰」が起きる少し前──,在“天罚”发生的不久前——
16,,トリッド王家は、グレートウォールを\n真王に渡さないため、起動の鍵である\n親族を根絶やしにすることを決断する。,特里德王家为了不让长城落入真王之手，\n决定将能够作为启动钥匙的血脉根绝。
22,,計画に勘づかれないよう、国王夫妻は\n真王自身に一族を抹殺させるため、\nグレートウォールの起動を試みる。,为了计划不被察觉，\n国王夫妇为了诱导真王自己下令抹杀，\n尝试启动长城。
30,,読み通り真王はそれを反旗と捉え、\n鍵の管理のためバラゴナに\n一族の抹殺を命じた。,正如他们所料，真王把他们的行为当做谋反，\n为了便于管理钥匙，\n向巴拉格纳下达了抹杀特里德王族的命令。
31,,そうして順調に任務をこなすバラゴナは\n最後にハルヴァーダを殺そうとするが、\nそれを防いだのが護衛のアベルだった。,就这样，顺利地执行着任务的\n巴拉格纳来到了最后的血亲——\n哈尔面前，却被担任其护卫的亚伯拦住了。
37,アベル/亚伯,王子……考え直してください。\nグレートウォールと\nその鍵の件については俺も聞きました。,王子……请您重新考虑一下。\n长城和钥匙的事情我多少也有听说。
38,アベル/亚伯,<span class='scene-font-4'>でも、こんな方法間違ってる！</span>\n王子だって、そう思うでしょう！？,<span class='scene-font-4'>但是，这种方法是错误的！</span>\n王子，你一定也是这么想的吧！？
39,緋色の騎士/绯骑士,相手は、\nあのイスタバイオン王国の真王です。,对手，\n是那个伊斯塔拜恩王国的真王。
40,緋色の騎士/绯骑士,そして我が一族には、\nこのナル・グランデ空域を\n守る責任がある。,而我们一族，\n有着守护这片纳尔·格兰德空域的责任。
41,アベル/亚伯,あんな幼い子供を犠牲にして、\n何を守ろうと言うんですか！,连那么小的孩子都要牺牲，\n又何谈保护！
42,アベル/亚伯,トリッド王国が\nナル・グランデの盟主として、\n本当に守らなきゃいけないものは──,特里德王国\n作为纳尔·格兰德空域的盟主，\n真正应该保护的是——
46,アベル/亚伯,──がふっ。,——唔。
48,ギルベルト/吉尔伯特,馬鹿な奴だ。\n大人しくガキを渡していれば、\n逃がしてやったものを……,真是个白痴。\n明明老实把孩子交给我，\n我就会放你走了……
49,,そう呟くギルベルトは\n腕に赤子のハルヴァーダを\n抱かえていた。,吉尔伯特这样说着，\n把怀里还是婴儿的哈尔瓦达\n递到巴拉格纳跟前。
50,ギルベルト/吉尔伯特,バラゴナ、始末を。\nこれはお前がやる命令だからな。,巴拉格纳，把他处理掉。\n这是下给你的命令。
51,,その言葉に頷いたバラゴナは、\n倒れたアベルがその足を掴んで\n声なく紡ぐ言葉を聴き取っていた。,巴拉格纳点头答应，\n倒下的亚伯却抓住了他的脚踝，\n仅靠口型说出了最后的遗言。
54,アベル/亚伯,殿下を……頼みます。,殿下……就拜托给您了。
55,緋色の騎士/绯骑士,私は……,我……
57,,呆然と自分を見つめるバラゴナに、\nハルヴァーダは恐れることなく\n無垢な笑顔を見せるのだった。,巴拉格纳呆呆地看着眼前的哈尔，\n而后者却毫无畏惧地\n向他露出了天真无邪的笑脸。
58,,──この時、私は決めたのです。,——那个时候，我决定了。
59,,せめてハルヴァーダだけでも、\nこの先、何があろうと守っていこうと。,只有哈尔瓦达也好，\n在这之后，不论发生什么事，\n我都会保护他。
65,,バラゴナはギルベルトを、自らの服従を\n餌に懐柔し、真王に虚偽の報告を済ませ\nハルヴァーダを白風の境に避難させる。,巴拉格纳以自身的服从作为交换，\n笼络吉尔伯特向真王递交了虚假报告，\n并将哈尔送到了白风之境避难。
71,,更にバラゴナはグレートウォールを\n破壊する方法を探し始めるが、\n外から破壊するのは不可能と判明する。,之后，巴拉格纳开始寻找破坏长城的方法，\n最终得出了不可能从外部将其破坏的结论。
72,,炉に燃料を入れられた後の\nグレートウォールを\n内側から崩壊させるしかない……,那么办法就只有在炉心填入燃料后，\n从内部进行破坏了……
78,,調査によってバラゴナは、燃料として\nギルベルトを幽世の力を汲み出すための\n門に変貌させる計画を知る。,经过调查，巴拉格纳得知了\n真王要把吉尔伯特变成汲取幽世之力的门，\n然后将其作为燃料的计划。
79,,バラゴナは計画を利用し、ギルベルトが\n燃料と化すのを待ち、自らを鍵として\nグレートウォールと融合したのだった。,巴拉格纳利用这个计划，\n等待吉尔伯特被用作燃料之后，\n以自身为钥匙与长城融合。
88,緋色の騎士/绯骑士,くっ……\n時間は……あまり無いようですね。,唔……\n时间……好像不多了啊。
89,緋色の騎士/绯骑士,鍵として融合した私によって、\nすでにグレートウォールは、\n内部的な崩壊が始まっています。,作为钥匙的我和它融合之后，\n长城已经开始从内部崩塌了。
90,緋色の騎士/绯骑士,いまならば、容易ではありませんが、\nグレートウォールを\n完全に破壊できるはずです。,如果是现在的话，\n虽然还是不太容易，\n但要完全摧毁长城应该是可行的了。
91,緋色の騎士/绯骑士,どうか私を……\n全てを壊してください。,请把我……\n和这一切全部破坏。
97,,そう言いグレートウォール上部へと\n姿を消したバラゴナの元へ、一行は\n悩んだ末向かうことを決める。,就这样，巴拉格纳的身影消失在了长城顶端。\n一行人在烦恼了一阵后，\n还是决定跟了上去。
99,,それを真王は阻止しようとするが、\nアリアが間に割って入ったため、\n一行は無事にバラゴナの元に辿り着く。,真王想要阻止他们的行动，\n却被阿莉亚拦了下来。\n就这样，一行人顺利来到了巴拉格纳身边。
100,ルリア/露莉亚,バラゴナさん……\n本当にもう、他に方法はないんですか？,巴拉格纳先生……\n真的，没有别的办法了吗？
101,緋色の騎士/绯骑士,ありません。,没有。
102,緋色の騎士/绯骑士,鍵として融合した以上、\nグレートウォールが破壊されない限り、\n私が解放されることもないでしょう。,既然作为钥匙和长城融合了，\n那么除了破坏之外，\n并没有将我解救出来的办法。
103,,自分が自我を失い兵器の一部と化す前に\n破壊してほしいと頼むバラゴナは、\n姬塔の父への伝言を口にする。,巴拉格纳拜托姬塔等人在他失去自我、\n化为兵器的一部分之前破坏掉他，\n并希望他们替他给姬塔的父亲捎个口信。
104,緋色の騎士/绯骑士,私は悲劇の幕引きのために\n己の命を使うことになったが、\nそのことに決して後悔はない……,我决定用我的生命来结束这场悲剧，\n这件事我决不后悔……
105,緋色の騎士/绯骑士,しかし……私の生の中で、\n最も輝かしかった時間は、\n貴方に剣を習った日々だった、と……,只不过……我一生中最灿烂的时光，\n就是跟着你学习剑术的那些日子……
106,緋色の騎士/绯骑士,どうかそう……お伝えください。,请务必……帮我转告。
107,,そう満ち足りたように言うバラゴナに、\nしかし姬塔は首を横に振った。,看着仿佛这样就满足了的巴拉格纳，\n姬塔摇了摇头。
108,ラカム/拉卡姆,そうさなぁ……\n言いたいことがあるってんなら、\nそいつは自分で伝えたらどうだ？,这个嘛……\n既然你有话要说，\n为什么不自己告诉他呢？
109,カタリナ/卡塔莉娜,その通りだ……\n私達は貴殿を救うために、\nこの剣を振るおう。,没错……\n我们会用手中的兵刃来拯救你。
110,ルリア/露莉亚,私達は絶対に、\nバラゴナさんを助けるんです！,我们一定要救出巴拉格纳先生！
129,,グレートウォールに絡み合った\n幾つもの悲劇に終止符を打つため、\n姬塔達は最後の戦いに臨む。,为了给长城引发的无数悲剧画上句号，\n姬塔等人开始了最后的决战。
141,,姬塔達の奮戦により、\nグレートウォールから解放された\nバラゴナは、己の過去を夢に見ていた。,在姬塔等人的奋战下\n从长城中脱离的巴拉格纳，\n梦到了自己的过去。
142,,それはハルヴァーダの生まれた日。\n生まれた時から天涯孤独の王子を思い\n立ち会った人々の面持ちは暗い。,那是哈尔瓦达诞生的日子。\n想到这位王子出生时便失去了双亲，\n房间里的人们个个面色阴沉。
143,,そんな時だった──,就在这时——
145,アベル/亚伯,……！\n泣いた……,……！\n他哭了……
146,アベル/亚伯,王子……\nトリッド王家の最も年若い一員です。\nどうぞ王子も抱いてあげてください。,王子……\n他是特里德王家最年轻的一员。\n请王子您也抱抱他吧。
156,,バラゴナが赤子を抱き上げると、\nハルヴァーダは意外にも\n嬉しそうな笑顔を浮かべる。,出人意料的是，\n被巴拉格纳抱起的哈尔瓦达\n露出了开心的笑容。
157,アベル/亚伯,一見、無骨な武人でも、\n王子はお優しい人だと、\n子供にはすぐにわかるんですね。,即便乍一看是个粗野的武者，\n但王子您仍是个温柔的人。\n这一点小孩立刻就能感觉出来。
158,緋色の騎士/绯骑士,……そういうものでしょうか。,……是这样吗。
159,アベル/亚伯,そうです！\nだってほら──,是的！\n因为你看——
170,？？？,目を覚ましてください！\nバラゴナさん！,请你醒醒！\n巴拉格纳先生！
175,緋色の騎士/绯骑士,…………,
176,ハル/哈尔,よかった……！\n目が覚めたんですね！,太好了……！\n你终于醒了！
177,ハル/哈尔,姬塔さんが、\n全部、終わらせてくれたんです。,姬塔已经，\n让一切都结束了。
178,緋色の騎士/绯骑士,そう……ですか。,是这样……吗。
179,緋色の騎士/绯骑士,ありがとう……\nやはり貴方には敵いませんね。,谢谢……\n我到底还是拗不过你啊。
180,,安堵と呆れの混じった表情のまま、\n心からの礼を告げるバラゴナの顔に、\n悲壮な決意はなくなっているのだった。,带着几分安心和几分无奈，巴拉格纳\n发自内心地向姬塔道谢。在他的脸上，\n之前那悲壮的决意已然消失不见。
183,ビィ/碧,──っと！\n揺れがひどくなってるぜ！\n早く脱出しねーと！,——喂！\n这里摇得越来越厉害了！\n俺们得赶快逃出去！
189,,降り注ぐ破片が止み次第出られるよう、\n姬塔達がグランサイファーへ\n乗り込もうとしていると……,正当姬塔一行人\n准备乘上格兰赛法，\n以便在碎片停止倾泻后立即出发之时……
190,フォリア/芙莉亚,んん……,嗯嗯……
191,カイン/该隐,陛下！　目が覚めたのか？,陛下！你醒了？
