id,en,jp,trans
0-chapter_name,,第78章　瘴気の歓待,第78章 瘴气之迎
0-synopsis,,ようやく全員と再会を果たせた姬塔一行。スツルムは、ひとり遅れて合流したドランクへ「自分のせいで」としおらしく詫びる。しかし次第に照れが勝ったのかいつも通りのやりとりをはじめる。そんなふたりを一行は温かく見守る。そして砦から脱出を果たす一行だったが、追って来たアニシダとハイラックに奇襲されてしまうのだった。,姬塔一行终于再次全员集结。斯特姆对只身会合迟到的德朗克老实地说出“都是自己的错”，向他表示了歉意。但是接下来两人又用以往一样的对话方式交流了。众人都很亲切地看着两人的互动。之后，一行人虽然得以逃脱，但是却遭到了追上来的阿尼希妲和海拉克的袭击。
1,,イオちゃん！　オーキスちゃん！<br>オイゲンさんに、ロゼッタさんもっ！,小伊欧！小欧姬丝！0906欧根！还有萝赛塔！
2,,……！,……！
3,,ルリアっ……！,露莉亚！
4,,<span class='scene-font-katari'>姬塔達は、</span><br><span class='scene-font-katari'>雪崩によってはぐれた仲間達と、</span><br><span class='scene-font-katari'>再会を果たし、互いの無事を喜び合う。</span>,<span class='scene-font-katari'>姬塔等人终于再次见到了<br>因雪崩而失散的同伴，<br>为彼此的平安无事感到开心。</span>
5,,良かった……！<br>みんな、無事だったんですね！,太好了！<br>看来大家都没事呢！
6,,おう。<br>オーキスちゃんが、あのゴーレム……<br>ロイドを咄嗟に盾にしてくれてな。,对！<br>小欧姬丝反应迅速，当场用她那个魔像……<br>罗伊德当盾牌用了。
7,,オーキスちゃんの機転が無かったら、<br>アタシ達も危なかったかもしれないわ。,如果不是小欧姬丝应对及时，<br>我们恐怕都会遇险呢。
8,,…………,…………
9,,<span class='scene-font-katari'>オーキスは得意げな顔をするが、</span><br><span class='scene-font-katari'>すぐにハッとした様子で、</span><br><span class='scene-font-katari'>姬塔達に頭を下げる。</span>,<span class='scene-font-katari'>欧姬丝得意地笑了笑，<br>然后突然向姬塔低下了头。</span>
10,,ごめん、なさい……<br>あの時、姬塔達を<br>助けてあげられなくて……,对不起……<br>那个时候，<br>没有救到姬塔你们……
10-sel1_txt,,<span class='scene-font-katari'>気にするな</span>,别介意
10-sel2_txt,,<span class='scene-font-katari'>それでもすごい</span>,已经很厉害了
11,,ありがとう……<br>やっぱり、姬塔は優しい。,谢谢……<br>果然姬塔很温柔呢。
12,,ロイドのおかげ……<br>いままで私は色々な人に、<br>守られてばかりだった……,都是多亏了罗伊德……<br>一直以来，我都只是一味地<br>被各种各样的人保护。
13,,だから今度は……<br>私が……みんなを守る。,所以这一次，<br>由我，保护大家。
14,,まずは無事に合流出来て何よりだ。<br>ハルの言う通り、<br>イオ達もこの砦に囚われていたんだな。,首先平安会合比什么都好。<br>哈尔说的没错，<br>伊欧你们果然是被抓到这里来了。
15,,そう言えば、この人は……？,说起来，这个人是？
16,,<span class='scene-font-katari'>イオは不思議そうな顔で、</span><br><span class='scene-font-katari'>姬塔の傍らに立つハルを示す。</span>,<span class='scene-font-katari'>伊欧满脸惊奇地<br>指了指站在姬塔身边的哈尔。</span>
17,,こいつは、この<span class='scene-font-place'>白風の境</span>の住人だ。<br>俺達にとっちゃ恩人であり、<br>いまは依頼主だな。,这位是<span class='scene-font-place'>白风之境</span>的居民。<br>他是我们的恩人，<br>不过现在也是委托者。
18,,えへへ……,诶嘿嘿……
19,,依頼……？,委托？
20,,詳しい話は後だ。<br>それより……,详情等之后再说吧。<br>比起那个……
21,,<span class='scene-font-katari'>スツルムは、</span><br><span class='scene-font-katari'>順に確認するようにイオ達を見やる。</span>,<span class='scene-font-katari'>斯特姆按顺序一个个<br>看向伊欧等人。</span>
22,,ドランクは……どうした？,德朗克他人呢？
23,,えっ？　あれ……？,咦？怎么回事？
24,,<span class='scene-font-katari'>イオは慌てた様子で周囲を確認する。</span>,<span class='scene-font-katari'>伊欧慌张地确认周围。</span>
25,,あれ……？<br>牢屋の鍵を開けて、<br>あたし達を逃がしてくれて……,咦？<br>他打开了牢房门的锁，<br>然后我们得以逃出来……
26,,それで、後ろから<br>あたし達を追ってきてると<br>思ってたけど……,我还以为<br>他会在后面追上我们呢。
27,,おいおい……<br>あいつまた、<br>ひとりでどっか行っちまったのか……？,喂喂……<br>那个家伙又<br>一个人跑到哪里去了吗？
28,,まさか……<br>途中でここの兵隊さんに<br>捕まっちゃったとか……！？,难道途中<br>被这里的士兵抓住了吗？
29,,っ……！！,唔……！！
30,,<span class='scene-font-katari'>咄嗟にスツルムは、</span><br><span class='scene-font-katari'>イオ達がやって来た方向へ走り始める。</span>,<span class='scene-font-katari'>斯特姆立刻跑向<br>伊欧她们刚过来的方向。</span>
31,,<span class='scene-font-katari'>しかし、その背後から、</span><br><span class='scene-font-katari'>聞き馴染んだ</span><br><span class='scene-font-katari'>のんびりとした声がかかるのだった。</span>,<span class='scene-font-katari'>可就在这时，<br>一个已经听惯了的悠哉声音<br>从她背后响起。</span>
32,,スツルム殿……<br>そんなに急いでどこ行くの？,斯特姆阁下……<br>这么着急是要去哪呢？
33,,……！！,……！！
34,,やれやれ……<br>貴殿も無事だったようだな。,哎呀……<br>看来你也没事啊。
35,,うん、まぁね～<br>砦の中を色々見ながら歩いてたら、<br>道に迷っちゃってさぁ～,嗯，算是吧~<br>我边走边看据点里的设施，<br>不小心就迷路了~
36,,<span class='scene-font-katari'>照れ隠しのように指先を回しながら、</span><br><span class='scene-font-katari'>ドランクは続ける。</span>,<span class='scene-font-katari'>德朗克像在掩饰自己的害羞似的，<br>转着手指，<br>然后继续说道。</span>
37,,ごめんねぇ、スツルム殿。<br>なんか色々、<br>心配かけたみたいでさ……,斯特姆阁下，对不起。<br>好像让你为我操了不少心……
38,,…………,…………
39,,<span class='scene-font-katari'>スツルムは何も言うことなく、</span><br><span class='scene-font-katari'>ドランクへと近づいていく。</span>,<span class='scene-font-katari'>斯特姆一言不发地<br>走近德朗克。</span>
40,,<span class='scene-font-katari'>それに対しドランクもまた、</span><br><span class='scene-font-katari'>スツルムへと手を伸ばす。</span>,<span class='scene-font-katari'>与此同时，<br>德朗克也向她伸出了手。</span>
41,,スツルム殿……,斯特姆阁下……
44,,ってぇ！？<br>なんで！？　なんで刺すの！？,疼！？<br>为什么！？<br>为什么刺我！？
45,,必要ない……お前は謝らなくていい。<br>謝るのはむしろ、あたしのほうだ……,不需要……你不必道歉。\n不如说该道歉的是我才对。
46,,<span class='scene-font-katari'>スツルムは項垂れるようにして、</span><br><span class='scene-font-katari'>ぽつりぽつりと言葉をこぼす。</span>,<span class='scene-font-katari'>斯特姆垂下了头，<br>断断续续地挤出几句话。</span>
47,,あいつの一撃で気を失ってしまって、<br><span class='scene-font-place'>ザンクティンゼル</span>で、<br>お前を守れなかった……,在<span class='scene-font-place'>赞克汀泽</span>，<br>我被那家伙一击打晕，\n没能保护好你……
48,,弱い傭兵には、何の価値も無い……<br>あたしは、<br>あたしの役割を果たせなかった……,弱小的佣兵<br>是没有价值的，<br>我没能履行好自己的责任。
49,,お前には……<br>本当に……悪いことをした。,我真觉得……<br>很对不起你。
50,,…………,…………
51,,あの……<br>じゃ、なんで刺し……,那你……<br>为什么还要刺我呢……
54,,いってぇ！？<br>だからなんで！？　なんで刺すの！？,好疼！？<br>所以为啥！？为啥刺我啊！？
55,,て、照れ隠しだ！<br>言わせるな、ばか！,当然是掩饰自己的害羞！<br>不要让我说出来啊，笨蛋！
56,,<span class='scene-font-katari'>姬塔達は騒がしいふたりを</span><br><span class='scene-font-katari'>温かく見守る。</span>,<span class='scene-font-katari'>姬塔等人只是在一旁欣慰地<br>看着两人吵吵闹闹的样子。</span>
57,,ふふ……<br>元通り、って感じですね！,呵呵……<br>感觉回到过去的样子了呢！
58,,やれやれ……<br>やっと再会したかと思えば、<br>すぐこれだもんなぁ……,哎哟喂……<br>刚刚重逢<br>马上就变回这样子了。
59,,けれど……<br>あまりゆっくりは、<br>していられなさそうね。,不过……<br>我们现在似乎<br>不能慢悠悠地闲聊下去了呢。
60,,<span class='scene-font-katari'>ロゼッタの言葉に一同が耳を澄ますと、</span><br><span class='scene-font-katari'>無数の軍靴の音が</span><br><span class='scene-font-katari'>通路の両側から響いてくる。</span>,<span class='scene-font-katari'>萝赛塔的话让大家竖起了耳朵，<br>无数军靴的声音<br>从道路两侧传来。</span>
61,,ここは敵さんの懐、<br>ど真ん中だからな……,这里是敌人大本营的<br>正中央啊。
62,,全員合流出来たんだ。<br>こんなとこ、とっとと抜け出すぞ！,既然全员已经集合了，<br>那就赶紧离开这个地方吧！
68,,はぁ……はぁ……<br>こ、ここまで来れば、<br>あと少しですね！,哈……哈……<br>到这里之后，<br>只差一点路了。
69,,<span class='scene-font-katari'>押し寄せる兵士達を退けながら、</span><br><span class='scene-font-katari'>姬塔一行は、</span><br><span class='scene-font-katari'>イスタバイオン軍の砦を脱出する。</span>,<span class='scene-font-katari'>众人击退涌出的士兵后，<br>从伊斯塔拜恩军的据点中<br>逃了出来。</span>
70,,<span class='scene-font-katari'>しかし、その背後から、</span><br><span class='scene-font-katari'>鋭く一行を呼び止める声が突き刺さる。</span>,<span class='scene-font-katari'>就在这时，<br>身后传来了<br>命令他们停下脚步的声音。</span>
71,,――そう簡単に<br>逃がすと思ってんのかい？,——你以为我会那么轻易地<br>放过你们吗？
72,,お前はッ……！！,你是！！
73,,危ういところでした……<br>この砦に直接乗り込んでくるとは、<br>思いもしませんでしたよ。,好险啊……<br>真没想到你们<br>竟会直接闯进据点。
74,,はっ……当たり前だろ。<br>仲間取り返そうってのに、<br>それが何処かなんて関係あるかよ。,哼，这是当然的。<br>为了夺回同伴，<br>哪怕是刀山火海我们也在所不辞。
75,,何処だろうと助けに行く……<br>それが仲間ってもんだろうが。,无论在哪里都要前去相救，<br>这才是真正的同伴啊。
76,,うん……？<br>なんかアタシが聞いてたのと、<br>ちょっと面子が違うなぁ……,嗯？<br>好像和之前听说的人员组成<br>有点不一样啊。
77,,<span class='scene-font-katari'>そう言ってアニシダは、</span><br><span class='scene-font-katari'>身構えるハルに目をやる。</span>,<span class='scene-font-katari'>阿尼希妲边说边看向<br>摆好架势的哈尔。</span>
78,,ま、いいか……<br>詳しいことは、もう一回捕まえてから<br>聞けばいいことだし……,罢了罢了。<br>具体情况等我们把你们再抓起来<br>问清楚就好了。
79,,それで……<br>君が例の……星晶獣殺しの子供だね？,然后……<br>你就是传闻中那个<br>“星晶兽杀手”的孩子吗？
80,,っ……！<br>あの人を気安くそんな名前で<br>呼ばないでくれるかしら……！！,唔……！<br>可以请你们不要<br>随便用这个名字称呼他吗？
80-sel1_txt,,<span class='scene-font-katari'>星晶獣殺し？</span>,星晶兽杀手？
80-sel2_txt,,<span class='scene-font-katari'>落ち着こう</span>,冷静一点
81,,ん？　ああ……<br>あんまりよく知らないのかな？,嗯？哦……<br>你们看来不太清楚啊。
82,,そうだなぁ……<br>アタシ達と一緒に来てくれれば、<br>色々教えてあげないこともないよ？,对了……如<br>果你们肯乖乖就范，<br>透露给你们一些情报也不是不行哦？
83,,ちょ、ちょっと待てよ！<br>さっきまでオイラ達の仲間を<br>捕まえておいて、なに言ってんだよ！,等、等一下！<br>明明直到刚才为止<br>还囚禁着俺们的同伴，哪来的脸说这话！
84,,ははっ……<br>大丈夫大丈夫……<br>冗談だから、そう慌てなさんな、って。,哈哈，没事没事。<br>开个玩笑而已，<br>别紧张。
85,,っ……<br>そう……そうね。<br>らしくないわよね……,嗯……<br>是的……也是。<br>是我失态了……
86,,でもね、姬塔さん……<br>アタシにだって、<br>譲れないものがあるの……,但是，姬塔啊……<br>我也是有不可让步的事情的。
87,,あの人の旅を……<br>あの人が成してきたことを侮辱するのは、<br>誰であろうと、許さないわ……！,无论是谁，诋毁那个人的旅程……<br>诋毁他所做的事，<br>都不可原谅！
88,,ともあれ……<br>ここで大人しく<br>投降するつもりはないようですね。,不管怎样……<br>看来你们是不打算<br>老老实实投降了呢。
89,,まぁ……<br>我々も元よりそのような展開は<br>期待していませんが……,嗐……<br>我们本来也没指望<br>你们会这么做就是了。
90,,しかし……<br>あくまで抵抗するとあらば、<br>力をもって屈服させるまでです。,但是……<br>如果你们无论如何也要抵抗的话，<br>就只有用武力打到你们屈服了。
91,,再度の確認になりますが、<br>投降の意思無し、とみなして……,最后确认一次，<br>你们不打算投降是吧？
92,,あーもー……<br>相変わらずお前は回りくどいなぁ……<br>そんなんじゃ女の子にモテないぞ。,啊，真是的。<br>你还是那么婆婆妈妈的……<br>那个样子可不招女孩子喜欢哦。
93,,アニシダ……！？<br>いや、ちょっとそれ、<br>いま関係ないでしょう！？,阿尼希妲！？<br>不，等等，那个和现在的情况<br>没有关系吧？
94,,まぁね～<br>でも、回りくどいよ、ホントにさ。,确实呢~<br>但你说话真的太爱兜圈子了。
95,,わざわざ瘴流域の中の砦にまで<br>助けに来たんだ。<br>引き下がる気は無いだろ？,都特意来到瘴流域内的据点救同伴了，<br>你们当然不会就此作罢的吧？
