id,en,jp,trans
0-chapter_name,76: A Crew Divided,第76章　分かたれた仲間,76：四散的骑空团
0-synopsis,"A massive avalanche comes down on the crew. Io and company brace themselves for impact but are saved by Orchid. They soon set out to rescue the rest of the crew, yet find monsters blocking their path.",謎の星晶獣により雪崩に巻き込まれた姬塔一行。しかし、イオ、オイゲン、ロゼッタは、咄嗟にロイドを盾にしたオーキスによって事なきを得る。イオ達は、仲間全員を助けることが出来なかったことに落ちこむオーキスを励ましながら、はぐれてしまった姬塔、ビィ、ルリア、カタリナ、ラカム、スツルムを探すため、歩みを進めるのだった。,姬塔等人被谜之星晶兽引发的雪崩吞没了。不过欧姬丝让罗伊德作为护盾，成功保下了伊欧、欧根、萝赛塔三人。伊欧安慰了因没能护住所有人而感到失落的欧姬丝，然后和众人一起去寻找失散的姬塔、碧、露莉亚、卡塔莉娜、拉卡姆和斯特姆。
0,It's about to give way！,――崩れるぞっ！！,——这里要塌了！！
9,姬塔 and the crew are caught in a giant avalanche triggered by a strange primal beast.,<span class='scene-font-katari'>謎の星晶獣により、</span><br><span class='scene-font-katari'>巨大な雪崩に巻き込まれてしまった</span><br><span class='scene-font-katari'>姬塔一行。</span>,<span class='scene-font-katari'>姬塔等人被卷入了谜之星晶兽引起的雪崩中。</span>
10,"Hearing Rackam's warning, Io shuts her eyes tight.",<span class='scene-font-katari'>ラカムの言葉を聞き、</span><br><span class='scene-font-katari'>突然のことにイオは咄嗟に目を瞑る。</span>,<span class='scene-font-katari'>听到拉卡姆的警告后，伊欧立刻闭上了双眼。</span>
11,The sound of crashing snow roars all around as she braces herself for the impact.,<span class='scene-font-katari'>痛いほどの轟音を耳に受けつつ、</span><br><span class='scene-font-katari'>イオは衝撃に身構えていたが……</span>,<span class='scene-font-katari'>足以令双耳作痛的轰鸣进入耳朵，她为即将受到的冲击做好了准备，但是……</span>
12,（Huh？）,<span class='scene-font-kokoro'>（あれ……？）</span>,<span class='scene-font-kokoro'>（咦？）</span>
13,"She can surely feel the shaking beneath her feet, but the inevitable crash of snow doesn't come.",<span class='scene-font-katari'>足元から揺れが伝わってはくるものの、</span><br><span class='scene-font-katari'>イオの身体が</span><br><span class='scene-font-katari'>衝撃に見舞われることはなかった。</span>,<span class='scene-font-katari'>尽管从脚下确实传来了摇晃感，但是伊欧的身体并没有感受到巨大的冲击。</span>
14,"When the roaring and shaking stops, Io slowly opens her eyes.",<span class='scene-font-katari'>そうして音と揺れが収まり、</span><br><span class='scene-font-katari'>イオはゆっくりと目を開ける。</span>,<span class='scene-font-katari'>当雪崩的轰鸣停止时，伊欧缓缓睁开眼睛。</span>
17,Are you all right？,大丈夫……？,你们没事吧？
18,Orchid？<br>What was that... Aah！,オーキス……<br>いったい何が……あっ！,欧姬丝，到底是怎么……啊！
19,Io yelps in surprise at the sight before her.,<span class='scene-font-katari'>周囲を見渡し、</span><br><span class='scene-font-katari'>イオは驚きの声をあげる。</span>,<span class='scene-font-katari'>看到周围的景象，伊欧下意识地惊叫出声。</span>
20,The entire landscape is bathed in white from the avalanche.,<span class='scene-font-katari'>雪崩によって、</span><br><span class='scene-font-katari'>イオ達の周囲は塗り潰されるように、</span><br><span class='scene-font-katari'>真っ白な雪に覆われていた。</span>,<span class='scene-font-katari'>伊欧周围的土地因为雪崩，已经彻底被雪覆盖了。</span>
21,...,…………,…
22,"Thanks to Orchid, who was quick to use Lloyd as a shield, everyone is safe from the crash.",<span class='scene-font-katari'>しかし、</span><br><span class='scene-font-katari'>オーキスは咄嗟にロイドを盾にし、</span><br><span class='scene-font-katari'>イオ達を雪崩から守ったのだった。</span>,<span class='scene-font-katari'>但是，欧姬丝立刻让罗伊德作为护盾，守护着伊欧等人不被雪崩卷入。</span>
23,"It's over now... I guess. Thank you, Lloyd.",もう……収まったみたい。<br>ありがとう、ロイド。,好像……已经结束了。谢谢你，罗伊德。
25,...,…………,…
27,Whew...,ふぅ……,呼……
28,"So this is the kind of power you have now, Orchid.",これが……<br>いまのオーキスちゃんの力なのね。,这就是现在的小欧姬丝的力量吗。
29,"I wanted to do something too, but I'm sorry...",ごめんなさい……<br>アタシも何とか<br>したかったのだけれど……,很抱歉，我也很想做些什么的……
30,"Looking frustrated, Rosetta lowers her head.",<span class='scene-font-katari'>ロゼッタは悔しげな表情で、</span><br><span class='scene-font-katari'>自らの掌を見つめる。</span>,<span class='scene-font-katari'>萝赛塔看起来十分懊悔，看着自己的手掌。</span>
31,I don't think this environment suits my powers very well. I just couldn't move quickly enough.,ここの環境は、<br>アタシの力と相性が悪いみたいで<br>咄嗟には動けなかったわ……,这里的环境和我力量的相性太差了，我没法立刻做出行动。
32,Orchid shakes her head in response.,<span class='scene-font-katari'>ロゼッタの言葉に、</span><br><span class='scene-font-katari'>オーキスは</span><br><span class='scene-font-katari'>やりきれない表情で首を振る。</span>,<span class='scene-font-katari'>听到萝赛塔的话语，欧姬丝也以一副失落的表情摇头。</span>
33,But... even I was too late.,私も……間に合わなかった。,我也，没有赶上。
34,You might be right...,残念だが……<br>どうもそうみてぇだな……,很遗憾，看来事情就是这样了。
35,Eugen takes in the view all around him as he speaks.,<span class='scene-font-katari'>そう呟きながら、</span><br><span class='scene-font-katari'>オイゲンは周囲を見渡す。</span>,<span class='scene-font-katari'>欧根看向周围，轻声说道。</span>
36,"Despite Lloyd's protection, only Io, Eugen, Rosetta, and Orchid remain together after the avalanche.",<span class='scene-font-katari'>ロイドに守られ、雪崩の後に残ったのは</span><br><span class='scene-font-katari'>イオ、オイゲン、ロゼッタ、オーキスの</span><br><span class='scene-font-katari'>４人だけだった。</span>,<span class='scene-font-katari'>雪崩之后，在罗伊德保护下没有被冲走的只有伊欧、欧根、萝赛塔、欧姬丝四人。</span>
37,No way... What's happened to everyone else then？,うそ……<br>じゃ、じゃあ……<br>他のみんなは……？,骗人的吧……那其他人怎样了？
38,The avalanche... Must've swept 'em away.,チッ……<br>流されちまった……<br>あの雪崩にな。,切……怕是被刚才的雪崩卷走了。
39,No... It can't be...,そん……な……,怎么…会…
