id,en,jp,trans
0-chapter_name,75: Trial of Ice and Wind,第75章　極地の試練,第75章 极地的试炼
0-synopsis,"The crew is puzzled by the woman, who left without speaking a word. But before they can ponder it further, a giant bird appears and begins to attack.",一行が魔物と戦っているうちに、女性はどこかへと姿を消してしまう。礼も言わず立ち去った女性を怪訝に思っていると、突如として巨大な鳥の魔物が襲いかかってくる。どうやら姬塔達を獲物と定めたらしく、巨大な鳥はその爪を一行に向けるのだった。,正当众人与魔物激战时，那位女性却不知道去了哪里。正当众人对这位毫无礼节直接离去的女性感到奇怪之时，一只巨大的鸟型魔物袭来。它看上去像是把姬塔等人当做成了捕食目标，用其利爪作为武器向众人扑了过来。
1,Groarrr！,<span class='scene-font-5'>グオォオォッ！！</span>,咕嗷嗷嗷嗷！
5,Is that the last of 'em？,っと……これで終わりか？,这样就结束了吗？
6,It looks like there aren't any more around here.,集まっていた魔物は、<br>軒並み片付いたようだな。,聚集过来的魔物<br>应该都收拾掉了吧。
7,Huh？,あれ……？,咦？
8,Hm？What's up？You're staring at your feet.,ん？　どうしたんだ？<br>じっと足元なんか見て……,嗯？怎么啦？<br>一直看着脚下？
9,Footprints...,足跡……,脚印……
10,Orchid points to footprints a little ways from the place where they had battled.,<span class='scene-font-katari'>オーキスは、</span><br><span class='scene-font-katari'>戦闘で踏み荒らされた場所から、</span><br><span class='scene-font-katari'>少し離れた位置にある足跡を指さす。</span>,欧姬丝指向了离战场稍远一点的地方，<br>那里有一小串脚印。
11,That woman left. Without a word. Only leaving these footprints...,さっきの人……行っちゃった。<br>何も言わないで……<br>この足跡だけ残して……,刚才那个人……走掉了呢。<br>什么都没说，<br>只留下了这些脚印。
12,Oh！Now that you mention it...,あっ！<br>そう言えば確かに……,啊！<br>说起来确实是……
13,She's gone. Maybe she got caught up in the monster battle？,どこにも居ないですね……<br>まさか、魔物との戦闘に<br>巻き込まれてしまったんでしょうか……,确实消失得无影无踪了，<br>难道是被卷入了<br>和魔物的战斗吗……
14,It doesn't look like it. She left very clear footprints.,それは無いみたいね。<br>しっかりした足跡が残ってるし……,应该不是这样的，<br>这里还留着整齐的脚印呢。
15,Perhaps she wanted to leave the fighting to us and just ran away.,アタシ達にこの場を任せて、<br>早々に立ち去ったんじゃないかしら？,是不是把这个摊子交给我们，<br>早早逃走了呢？
16,Without saying anything after we came to her rescue？,駆けつけたアタシ達には、<br>一言も告げずに、か……,对于赶来救场的我们，<br>一声不吭地就走了吗。
17,"Humph... Well, it's not like we did it for the thanks.",むぅぅ……！<br>そりゃ、お礼を言われるために<br>助けに来たわけじゃないけど……,唔唔……！<br>虽说我们也不是<br>为了得到她感谢才过来帮她的……
18,"But it just doesn't feel the same without it, you know？",でもなんか、こう……<br>スッキリしないわね……,但还是感觉<br>有些不爽呢。
19,"Well, maybe she had her own reasons for rushin' off.",そうだなぁ……<br>まぁ、向こうさんにゃあ、<br>何か急ぐ理由でもあったんだろ。,也是……<br>算啦，说不定对方<br>有什么急事必须马上离开呢。
20,And we're not here on any vacation either. So let's get back to findin' Drang and...,だがよぉ、オレ達だって、のんびり<br>観光に来てるわけじゃあねぇんだ……<br>とっととドランクの奴を見つけて……,但是我们也不是<br>来这里悠闲地观光的啊，<br>赶快去找德朗克那家伙吧。
21,Eh？,……あん？,啊？
