id,en,jp,trans
0-chapter_name,,第77章　隠れ里,第77章 山中隐村
0-synopsis,,イスタバイオン軍の砦内牢獄でドランクと合流したイオ達はスツルムの依頼で救出に来たことを伝える。一方、姬塔達はハルと名乗る少年から、雪原で倒れていたところを、この集落に運ばれたと聞く。一行の目的を聞いたハルは、外は危険であり、止めるよう説く。しかし、仲間のために歩みを止める訳にはいかない事を伝えると、姬塔達は再び雪原へと踏み出すのだった。,在伊斯塔拜恩军据点的监狱中，伊欧等人与德朗克碰头了。大家说明了斯特姆发出请求因此来救出德朗克的事。另一方面，姬塔等人从名为哈尔的少年那里听说，是他将在雪原上昏倒的自己以及同伴们带回这个村落的。哈尔听众人说明了此行的目的，意图劝阻姬塔等人的行动，因为村外实在过于危险。可姬塔等人却表示他们不会停下寻找同伴的脚步，再次踏上了雪原。
0,,入れ。,进来。
1,,<span class='scene-font-katari'>ハイラックに連行され、</span><br><span class='scene-font-katari'>イスタバイオン軍の砦へやってきた、</span><br><span class='scene-font-katari'>イオ、オイゲン、ロゼッタ、オーキス。</span>,在海拉克的带领下，<br>伊欧、欧根、萝赛塔和欧姬丝<br>终于来到了伊斯塔拜恩军的据点。
2,,<span class='scene-font-katari'>その牢獄で、</span><br><span class='scene-font-katari'>イオ達は</span><br><span class='scene-font-katari'>見知った顔と再会するのだった。</span>,在监狱中，<br>伊欧等人与一位熟人见面了。
3,,あっれぇ～？<br>なになに？　どしたの？,咦~？<br>什么什么？<br>怎么了？
4,,ドランク……！,德朗克……！
5,,やれやれ……<br>ったく、<br>ピンピンしてるじゃねぇか、おい……,哎哟喂……<br>真是的，<br>你这不挺精神的嘛！
6,,はぁ……<br>どしたの、じゃないわよ……<br>なんだか心配して損しちゃった……,哈……\n“怎么了”你个头啊……\n真是白为你担心了……
12,,そっか……<br>スツルム殿、<br>ちゃんと気付いてくれたんだねぇ……,这样啊……<br>斯特姆阁下<br>有留意到我留下的讯息啊……
13,,ええ……すごく必死で……<br>あの子には悪いけど、<br>少し可愛いと思っちゃったわ。,是啊，她相当拼命呢。<br>虽然这样说可能有点不太好，<br>感觉她变得可爱了一些呢。
14,,<span class='scene-font-katari'>牢でドランクに合流したイオ達は、</span><br><span class='scene-font-katari'>自分達が</span><span class='scene-font-place'>白風の境</span><span class='scene-font-katari'>まで来た</span><br><span class='scene-font-katari'>経緯を説明する。</span>,伊欧等人在监狱中与德朗克会合了，<br>同时也向他说明了<br>来到<span class='scene-font-place'>白风之境</span>后的经历。
15,,そっかそっかぁ……！<br>ありがとねぇ、<br>こんな遠いところまでさ。,原来是这样啊！<br>感谢各位，<br>为我远赴此地。
