id,en,jp,trans
0-chapter_name,,第79章　境界の果て,第79章 边境尽头
0-synopsis,,星晶獣ディコトムスの元に辿り着いた姬塔一行。ルリアによれば、ディコトムスは一見落ち着いているように見えるが、今も苦しんでいるという。その時、突然周囲に異様な音が響き渡る。それは、ディコトムスが呪縛に抗うあまり自らの体の崩壊を招いている音であった。事態の深刻さに打ちひしがれるハルに、ルリアは必ずディコトムスを救ってみせると力強く告げるのだった。,姬塔等人终于到达了星晶兽迪克特穆斯的所在之处。根据露莉亚所说，迪克特穆斯乍一看像是冷静了下来，实际上现在还痛苦着。那时，周围突然响起异样的声音。那是迪克特穆斯试图挣脱束缚而抗争，导致身体将要从内部崩坏而发出的声音。知道事态的严重性的哈尔有点精神不振，露莉亚想尽力将迪克特穆斯从这种状态拯救出来。
0,,――――,————
1,,<span class='scene-font-katari'>エオニオ山脈を進む姬塔一行は</span><br><span class='scene-font-katari'>ついに、星晶獣ディコトムスの元まで</span><br><span class='scene-font-katari'>登り詰める。</span>,姬塔等人继续在艾欧尼欧山脉中前进，<br>终于登顶来到星晶兽迪克特穆斯的所在之处。
2,,ほぉ……<br>落ち着いてんなぁ……<br>失控してるようにゃ見えねぇが……,喔……<br>像是已经冷静下来了呀，<br>看上去已经不是失控状态了。
3,,失控じゃないんです……<br>ずっと抑えつけられてて……<br>まるで誰かに操られてるみたいな……,并不是失控，<br>而是一直被什么抑制着……<br>就像是谁在操纵着它一样。
4,,星晶獣を操る、か……<br>そんなのがゴロゴロいたんじゃ、<br>たまったもんじゃねぇな……,操纵星晶兽吗……<br>这种事要是很多人都能做到的话<br>可遭不住啊。
5,,ここはナル・グランデ空域との境界だ。<br>私達の知らない、何か、が潜んでいても<br>不思議はない。,这里是纳尔·格兰德空域的边界，<br>也许潜伏着什么<br>我们所不知道的东西。
6,,それがなんであれ、<br>この子はすごく苦しんでるんです……<br>だから……,无论那是什么，<br>现在这个孩子<br>在痛苦着，所以……
7,,…………！？,…………！？
9,,な、なに……！？<br>急に暴れ始めたけど……<br>それにこの音……,发生什么了？<br>它突然开始乱动了，<br>而且这个声音……
10,,<span class='scene-font-katari'>一行は、周囲に響き渡る、</span><br><span class='scene-font-katari'>苦しげな音に耳を澄ませる。</span>,一行人清楚地听到，<br>周围响起了很痛苦的声音。
11,,っ……！？<br>や、やめてください！<br>そんな……！,唔……！？<br>停、停下啊！<br>请不要那样……
12,,ど、どうした、ルリア！？,露莉亚，怎么了啊？
13,,この子は……<br>自分を操る力に、<br>無理やり抗おうとして……,这孩子，\n正想强行挣脱<br>操纵自己的力量。
14,,身体が崩れようとしてるわ。<br>これはその音……<br>この子の身体があげる悲鳴よ。,简直就想把自己弄坏一样，<br>那个声音就是……<br>那孩子的身体发出的哀嚎。
15,,<span class='scene-font-katari'>ロゼッタは険しい表情で、</span><br><span class='scene-font-katari'>苦しげにのた打ち回る</span><br><span class='scene-font-katari'>星晶獣ディコトムスを見る。</span>,萝赛塔以一副严峻的表情<br>看着在痛苦中挣扎的<br>星晶兽迪克特穆斯。
18,,<span class='scene-font-4'>――！！</span><br><span class='scene-font-4'>――！！</span>,<span class='scene-font-4'>——！！</span>
19,,このままじゃ……<br>この子の身体が、もたない……,这样下去的话，<br>这孩子的身体<br>会承受不住的。
20,,そこまでして、<br>無理やり振りほどこうとするなんて……<br>こいつの後ろには何が居るんだ？,居然强行把它逼到这种地步……<br>在背后操纵这家伙的<br>到底是谁？
21,,さぁねぇ……でもそいつは星晶獣を、<br>ただの道具くらいにしか<br>思ってないみたいだね。,谁知道呢。但是那家伙似乎<br>把星晶兽单纯当做工具来看待了呢。
22,,そんな……,怎会如此……
23,,<span class='scene-font-katari'>ハルは事態の深刻さを知り、</span><br><span class='scene-font-katari'>打ちひしがれた様子で、</span><br><span class='scene-font-katari'>星晶獣ディコトムスを見つめる。</span>,哈尔感受到事态的严峻，<br>直直地看着痛苦挣扎着的<br>星晶兽迪克特穆斯。
24,,<span class='scene-font-katari'>しかし、ルリアは決して希望を失わず、</span><br><span class='scene-font-katari'>力強く宣言する。</span>,然而，露莉亚并没有放弃希望，<br>而是说出了自己的决心。
25,,大丈夫です……<br>この子は絶対に、<br>私達が何とかします。,没事的……<br>我们一定能拯救这孩子的。
26,,こんな状態の子を放っておくなんて、<br>絶対に出来ません……！,我们决不能<br>对被逼到这种地步的它<br>置之不理！
27,,少し、痛いかもしれません……<br>でも必ず、<br>私達が貴方を解放してみせます！！,也许会有点疼……\n但我们一定会让你解脱出来的！
info,,1,scene_cp79_q4_s10
,,,
