id,en,jp,trans
0-chapter_name,,第79章　境界の果て,第79章 边境尽头
0-synopsis,,ルリアに力を預けたことで解放されたディコトムスは、姬塔達に空図の欠片を託して飛び去った。目的を果たした一行は、新たな空に胸を弾ませつつ、山頂へと登りつめる。そこに広がるナル・グランデ空域に目を奪われていた一行だったが、突如吹き荒れた瘴気に吹き飛ばされてしまう。そのさまを眺めるロキ。姬塔の行く先に待ち受ける苦難を予言し、暗く嗤うのだった。,因为露莉亚吸收了部分力量，迪克特穆斯得到了解脱。它将空图碎片就这么托付给姬塔等人后飞走了。众人达成目的后，前方的新空域让大家不禁激动地向山顶攀爬。展现在众人眼前的纳尔·格兰德空域的景色让大家目不转睛，但瘴气突然像狂风呼啸一般将众人吹走。洛基从远处眺望着这一情况，预言着在前方等着姬塔一行的苦难，为此暗自嗤笑。
0,,<span class='scene-font-katari'>姬塔一行は、</span><br><span class='scene-font-katari'>謎の力から逃れようと暴れる</span><br><span class='scene-font-katari'>星晶獣ディコトムスを落ち着かせる。</span>,<span class='scene-font-katari'>姬塔等人让为挣脱神秘的支配力<br>而狂暴的星晶兽迪克特穆斯<br>冷静了下来。</span>
1,,<span class='scene-font-katari'>そうして、星晶獣ディコトムスは、</span><br><span class='scene-font-katari'>一度ルリアに力を預けることで、</span><br><span class='scene-font-katari'>支配から解き放たれたのだった。</span>,<span class='scene-font-katari'>就这样，露莉亚吸收了<br>部分星晶兽迪克特穆斯的力量，<br>让其从被支配的状态中解放。</span>
2,,――――,————
3,,ふふ……これでもう安心です。<br>もうこの子は自分を取り戻しました。,呵呵，这样就放心了，<br>这孩子可以做回原本的自己了。
4,,って言われても……<br>オイラ達にゃよくわかんねーけど……,就算你这样说……<br>俺们也搞不明白啊……
5,,でもなんだかこう、<br>雰囲気が優しくなったというか……,但不知何故，<br>它身边的气氛好像平和了一些。
6,,あたしは前の状態より、<br>いまのほうが落ち着くな。,我也比之前<br>更冷静一些就是了。
7,,この子は元々、<br>ずいぶん大人しい<br>星晶獣だったみたいね。,这个孩子原本好像<br>是个相当老实的星晶兽呢。
8,,はい。<br>これで、この子はまた元通りに……,是的！<br>这下这孩子<br>就能恢复原来的样子……
9,,っ！？,唔！？
10,,<span class='scene-font-katari'>笑顔で話していたルリアは、</span><br><span class='scene-font-katari'>突然、怯えた表情を見せ、</span><br><span class='scene-font-katari'>弾かれたように振り向く。</span>,<span class='scene-font-katari'>露莉亚的笑容突然变成了胆怯，<br>像是触电了一般转过头去。</span>
11,,ど、どうした？<br>大丈夫か？　ルリア。,怎、怎么了？<br>没事吧，露莉亚？
12,,あ、えっと……<br>なんだかすごく、<br>冷たい視線を感じて……,啊，呃……<br>那个，我好像感受到了<br>一道冰冷的视线……
13,,視線？,视线？
14,,<span class='scene-font-katari'>ルリアの言葉にカタリナは、</span><br><span class='scene-font-katari'>周囲の瘴流域や雪原に目を凝らす。</span>,<span class='scene-font-katari'>露莉亚的话<br>让卡塔莉娜警戒地看向<br>周围的瘴流域和雪原。</span>
15,,私達以外に、<br>人影は無いようだが……,除了我们，<br>似乎没有其他人影了。
16,,そ、そうですよね……<br>あ、そうだ、<br>それで、えっと……,应该是的……<br>啊，对了，那个，呃…
