id,en,jp,trans
0-chapter_name,74: What Lurks in the Snow,第74章　雪原に潜むもの,第74章 潜伏雪原之物
0-synopsis,"Anissida and Hailak report on their mission and their prisoner. Meanwhile just as 姬塔, Sturm, and the crew decide to rescue Drang, Lecia is ordered to return to Amalthea alone.",黄金の騎士へ、ザンクティンゼルでの戦いの顛末を報告するアニシダとハイラック。一方その頃、スツルムから事情を聞き、黄金の騎士率いるイスタバイオン軍に捕われたドランク救出を画策する姬塔一行。そこに現れた秩序の騎空団員から、リーシャに帰還の命が伝えられる。一行はリーシャと別れ、リーシャはアマルティア島へ、一行はドランクの救出へと向かう。,阿尼希妲与海拉克向金骑士报告了在赞克汀泽的战斗。与此同时，姬塔等人听取了斯特姆带来的消息，正在策划救出被金骑士率领的伊斯塔拜恩军抓捕的德朗克。这时，一名秩序骑空团员突然现身，传命莉夏返回。众人与莉夏告别后，莉夏前往阿玛提亚岛，而姬塔等人则赶去救出德朗克。
0,"Now, let's hear your report, Anissida.",――では、アニシダ、報告を。,——那么，阿尼希妲，<br>做一下报告吧。
1,The Golden Knight turns to face her two soldiers.,<span class='scene-font-katari'>そう告げると、黄金の騎士は、</span><br><span class='scene-font-katari'>並んで立つ二人に向き直る。</span>,金骑士如此说道，<br>转向了并列站立着的两人。
2,Anissida gazes away from the room's furnishings and straightens her posture before speaking.,<span class='scene-font-katari'>名前を呼ばれたアニシダは、</span><br><span class='scene-font-katari'>窓の無いその部屋の調度品から目を離し、</span><br><span class='scene-font-katari'>背筋を正して報告を始める。</span>,被叫到名字的阿尼希妲将视线<br>从这间没有窗户的房间中的日常用品上移开，<br>挺直腰板开始报告。
3,"Let's see... Well uh, first of all, there's that crew of skyfarers.",えー……はいはい、えーっとね。<br>まず、例の騎空団について、ですが……,嗯——好嘞好嘞。<br>首先，关于那个骑空团……
4,"The crew had already left Zinkenstill by the time we got there, so we couldn't get a hold of 'em.",アタシ達が着いた頃には、<br>すでに<span class='scene-font-place'>ザンクティンゼル</span>を発っており、<br>接触は叶いませんでした。,当我们抵达<span class='scene-font-place'>赞克汀泽</span>时，<br>他们已经从那里出发了，<br>所以并没有接触到他们。
5,"I figured as much, considering I ran into them in the Dydroit Belt.",そのようですね……<br>彼らとは<span class='scene-font-place'>ダイダロイトベルト</span>にて、<br>私自ら接触することが出来ました。,确实如此，<br>我已经在<span class='scene-font-place'>碎石环</span>亲自与他们接触了。
6,"Really？Wow, his kid must be somethin'！What'd you learn？",へぇ～……！<br>どうだった？　あの男の子供は。,嘿~！<br>那个男人的孩子<br>到底怎样？
7,"I can't say for sure. The True King has been clear on this matter, so I won't dig any deeper into it.",……未知数、といったところでしょうか。<br>真王陛下のお言葉がある以上、<br>深入りするつもりはありませんが……,未知数，这么说比较好吧。<br>因为真王陛下有言在先，<br>就没有与那个人进行更深入的接触。
8,But I have no doubt we'll meet again. Whether we'll be standing with them or against them is another issue.,いずれまた、相見えることでしょう。<br>その時、彼らを隣に置いているか、<br>相対しているかは、わかりませんが。,总会有机会再见的。<br>不过那时就不知道对方是敌是友了。
9,The Golden Knight murmurs this in a hopeful tone.,<span class='scene-font-katari'>どこか期待するような響きを込めて、</span><br><span class='scene-font-katari'>黄金の騎士は呟く。</span>,金骑士像是包含着期待一般<br>细声低语。
10,"Fearing retribution for what he is about to say, Hailak begins to speak in a remorseful tone.",<span class='scene-font-katari'>それに対し、</span><br><span class='scene-font-katari'>ハイラックはおずおずと</span><br><span class='scene-font-katari'>申し訳なさそうに口を開いた。</span>,而海拉克则战战兢兢地<br>以道歉般的口吻开口说道：
11,About the documents on how to kill primal beasts...,それでその……<br>あの男の旅の資料……<br>星晶獣を殺す方法についてですが……,然后……<br>关于那个男人旅行遗留下的资料……<br>杀死星晶兽的方法的事……
12,I've already heard. You had some unexpected guests.,聞いています。<br>想定外の邪魔が入ったそうですね。,我已经听说了，<br>遭到了预想以外的妨碍对吧。
13,"Indeed. As we were fighting, the villagers took notice and began gathering. We had no choice but to retreat.",はい。<br>交戦の結果、村人が集まってしまい、<br>撤退を余儀なくされました。,是的。<br>发生的交战导致村民都聚集起来了，<br>我们不得已只能撤退。
14,"The village is surely on alert now, which means another visit will be difficult for some time.",また、今回のことで<br>村の警戒を煽ってしまい、<br>しばらくの間、再調査は難しいかと……,此外，因为这次的事件村内警戒度提升了，<br>这段时间要再去调查<br>恐怕会很难……
15,"Hailak bites his lip, preparing himself for the worst.",<span class='scene-font-katari'>ハイラックは悔しげに唇を噛む。</span>,海拉克悔恨地咬住了嘴唇。
16,This is an embarrassment to the Istavion Troop. I will accept any punishment you see fit.,イスタバイオン軍人に、<br>あるまじき失態です……<br>どうぞ、何なりと処罰を……,这是伊斯塔拜恩军人<br>不应有的失态，<br>我自愿接受任何处罚。
17,That won't be necessary. I didn't give you these orders expecting complete success.,いえ……その必要はありません。<br>私はなにも、成功のみを想定して<br>命令を下しているのではありません。,不，没有这个必要。<br>我下达命令的时候<br>也没设想一切都能顺利进行。
