id,en,jp,trans
0-chapter_name,,第79章　境界の果て,第79章 边境尽头
0-synopsis,,何とか追手を振り切った姬塔一行は、イオ達にハルのことやこれまでの経緯を説明する。空図の欠片が揃った事から目的は果たされたようにみえたが、ルリアは星晶獣ディコトムスが未だ助けを求めていると訴える。それを受け、事態はまだ楽観視できる状態にないことを悟った一行は、ディコトムスの元へと向かうべく再び瘴流域を進みはじめたのだった。,姬塔一行总算摆脱了追兵，并向伊欧等人说明了遇到哈尔后的一系列经过。他们现在已经如愿集齐了空图碎片，露莉亚请求大家去帮助尚待拯救的星晶兽迪克特穆斯。接受了这一请求的众人认为事态仍不容乐观，再次踏进瘴流域，向迪克特穆斯所在的地方前进了。
0,,<span class='scene-font-katari'>姬塔達は、</span><br><span class='scene-font-katari'>イスタバイオン軍の砦を離れ、</span><br><span class='scene-font-katari'>かなりの距離を取り、立ち止まる。</span>,<span class='scene-font-katari'>姬塔等人离开伊斯塔拜恩军据点一段距离后，停了下来。</span>
1,,追ってくる様子は……<br>ないようだな。,他们好像……没有追过来呢。
2,,あん……？<br>もうあいつらを撒けたってのか？,啊？那些家伙就这样放弃了？
3,,あの連中、<br>あれだけ盛り上がってたにしちゃ、<br>いやにあっさりしてねぇか……？,那些家伙那么气派地招待了我们一番，说放手就轻易放手了吗？
4,,まぁ、もう追ってこねーなら、<br>それでいいじゃねーか！,嗐，他们不追了，对我们来说不是正好嘛！
5,,ははっ！　違ぇねぇ、が……<br>こう、嫌なモンが引っかかってるような<br>違和感はあるな……,哈哈！确实。但是总觉得好像有哪里不对劲……
6,,えっと、それで……<br>結局、この人って……誰なの？,呃，所以……这个人到底是谁呀？
7,,<span class='scene-font-katari'>ちらり、とイオに視線を送られ、</span><br><span class='scene-font-katari'>ハルは慌てて佇まいを直す。</span>,<span class='scene-font-katari'>伊欧笔直地看向哈尔，而哈尔则慌忙地挺直了腰板。</span>
8,,あ……えっと、僕はその……,啊，呃……我是……那个……
9,,彼はハル……<br>私達は彼の協力もあって、<br>この瘴流域に入ることが出来たんだ。,他是哈尔，正是有他的帮助，我们才能进入瘴流域的。
10,,<span class='scene-font-katari'>カタリナはこれまでの経緯と、</span><br><span class='scene-font-katari'>ハルについて、</span><br><span class='scene-font-katari'>砦に囚われていた仲間達に説明する。</span>,<span class='scene-font-katari'>卡塔莉娜将至今为止的经历和哈尔的事向之前被关在牢里的其他伙伴们说明了。</span>
11,,そう……<br>それじゃ、ついに<span class='scene-font-spword'>空図の欠片</span>が<br>集まったのね？,这样啊……那么，<span class='scene-font-spword'>空图碎片</span>总算是集齐了吧？
12,,はい……<br>でも、あの子はまだ助けを求めています。<br>自分を縛り付ける何かから……,是的。但是那个孩子还在求救，因为有什么东西束缚着它……
13,,だから、今度こそ、あの子を……,所以这一次，请帮助一下那个孩子吧。
14,,<span class='scene-font-katari'>ルリアは決意を露わにするように、</span><br><span class='scene-font-katari'>小さな拳を握りしめる。</span>,<span class='scene-font-katari'>露莉亚攥紧了小小的拳头，表露出自己的决心。</span>
15,,でも、その星晶獣、って……<br>あの雪崩を起こしたやつなのよね……,但是，那个星晶兽可是那个引起雪崩的家伙哦。
16,,あれもきっと、<br>何かの影響を<br>受けていたんだと思います。,我认为，那也是因为受到了什么影响才做的。
17,,それで？<br>いま、あの星晶獣はどこに居るんだ？,那么？现在那只星晶兽在哪里呢？
18,,いまは……この先……,现在在……这前方。
19,,<span class='scene-font-katari'>ルリアは精神を集中させ、</span><br><span class='scene-font-katari'>ゆっくりと瘴流域の中に拓かれた道の、</span><br><span class='scene-font-katari'>その先を示す。</span>,<span class='scene-font-katari'>露莉亚聚精会神，然后指向瘴流域中道路的前方。</span>
20,,この先の……<br>山の上のほうに居るみたいです。,好像是待在这前方的……山顶上的样子。
21,,ディコトムスは本来、<br>エオニオ山脈上部の瘴流域を<br>主な住処とする星晶獣です。,迪克特穆斯原本是栖息在艾欧尼欧山脉上部瘴流域中的星晶兽。
22,,もしかしたら、<br>さっきの戦闘で元に戻ったのかも……,说不定，从之前战斗脱身后就回窝去了……
23,,<span class='scene-font-katari'>そんなハルの希望的観測に対し、</span><br><span class='scene-font-katari'>ルリアは静かに首を振る。</span>,<span class='scene-font-katari'>露莉亚静静点头，肯定了哈尔的猜测。</span>
24,,まだです……<br>むしろ、なんだかいままでよりも、<br>ハッキリしてます……,它仍然……我现在比之前能更加清晰地感受到……
25,,あの子を縛り付ける、<br>すごく……すごく嫌な感じが……,将那个孩子束缚住的，非常……非常讨厌的感觉。
26,,事態はまだ、<br>楽観視できる状態にはない、か……,看来情况依然不容乐观呢。
27,,なら、迷うことはないわ。<br>騎空団として依頼も受けてることだし、<br>またあの子に会いに行ってみましょ。,那就没有什么好犹豫的了。既然是骑空团接受的委托，还是去再见见那个孩子吧。
28,,だな！<br>このまま、あの星晶獣のところに<br>向かっちまおーぜ！,是啊！就这么直接去那个星晶兽那里吧！
29,,<span class='scene-font-katari'>一行はビィの言葉に同意を示す。</span>,<span class='scene-font-katari'>众人都同意碧所说的。</span>
30,,<span class='scene-font-katari'>こうして姬塔達は、</span><br><span class='scene-font-katari'>山の頂へと、瘴流域の中に拓かれた道を</span><br><span class='scene-font-katari'>再び進み始めるのだった。</span>,<span class='scene-font-katari'>就这样，姬塔等人再次踏入瘴流域，向山顶前进。</span>
info,,1,scene_cp79_q1_s10
