id,en,jp,trans
0-chapter_name,70: Erste Kingdom,第70章　エルステ王国,70：埃尔斯特王国
0-synopsis,"Guided by Adam, 姬塔 and the crew trudge through the desert to visit Freesia in her prison.",<span class='scene-font-place'>ラビ島</span>の乾いた砂漠を進む姬塔一行。空図の欠片の在り処を求め、フリーシアが収容されている監獄を目指す。やすやすと情報を話してくれるとは思えない、油断ならないかつての宿敵の対面を控え、姬塔一行は道中、気を引き締めるのだった。,姬塔等人行走在</span><span class='scene-font-place'>拉比岛</span>上干燥的沙漠中。为了寻找空图碎片的所在之处，众人前往了关押芙莉西雅的监狱。他们并不觉得能那么顺利地得到情报，面对被关押的不能放松警惕的过去的宿敌，他们在途中端正了态度。
0,I'm melting！,あちぃ……,好热啊！
1,"Compared to Valtz, the desert here is like a dust bowl.",ここの砂漠は<span class='scene-font-place'>バルツ</span>と比べると、<br>ずいぶんホコリっぽいのよね……,这里的沙漠与<span class='scene-font-place'>瓦尔兹</span>相比，沙尘更多呢。
2,The sands of Ravi Island are much drier than Fremel.,<span class='scene-font-place'>ラビ島</span>の砂漠は、<br><span class='scene-font-place'>フレイメル島</span>のものより、<br>乾いた砂漠ですから。,<span class='scene-font-place'>拉比岛</span>的沙漠比<span class='scene-font-place'>弗雷梅尔岛</span>的更加干燥。
3,"Anyway, the place we're looking for is nowhere in sight, eh？",しかし……<br>まだそれらしい影も<br>見えてこねぇなぁ、おい……,但是，还没看到监狱的影子呢。
4,"Leaving Orchis behind in the palace, Adam leads 姬塔 and crew through the desert to meet with Freesia.",<span class='scene-font-katari'>フリーシアから話を聞くため、</span><br><span class='scene-font-katari'>オルキスを宮殿に残し、アダムの案内で、</span><br><span class='scene-font-place'>ラビ島</span><span class='scene-font-katari'>の砂漠を進む姬塔一行。</span>,<span class='scene-font-katari'>为了从芙莉西雅那里获取情报，众人将欧尔姬丝留在王宫，在亚当的带领下，在</span><span class='scene-font-place'>拉比岛</span><span class='scene-font-katari'>的沙漠中前行。</span>
5,"After her fierce battle against the crew, Freesia was remanded in custody to a unique prison surrounded in the middle of the desert.",<span class='scene-font-katari'>一行との激闘の後、</span><br><span class='scene-font-katari'>フリーシアは周囲を砂漠に囲まれた</span><br><span class='scene-font-katari'>特別な監獄に収監されていたのだった。</span>,<span class='scene-font-katari'>在那场激烈的战斗之后，芙莉西雅被关押在沙漠中的一处特殊监狱中。
6,"I'd never have guessed she'd be confined like this. Then again, it's only natural after what she did.",まさか専用の特別監獄とはな……<br>いや、彼女のしたことを考えれば、<br>当然なのかもしれないが……,没想到是专用的特殊监狱。不过考虑到要关的是她，也就不足为奇了……
7,"Well, um, how is she now after all that？",えっと……<br>あの後、フリーシアさんは、<br>どんな様子なんですか？,在那之后，芙莉西雅她怎样了？
8,Her life's in no danger. She's not particularly defiant and appears to be behaving quite well.,少なくとも命に別状はありません。<br>いまのところは特に反抗もなく、<br>大人しくしているようです。,至少命还在。现在也没有做出什么反抗，很老实地被关押着。
9,"She may have given up fighting for a while, I suppose.",しばらくは何もする気が<br>起きないかもしれないわね。,或许她暂时没有要搞事的念头。
10,It'd be perfect if she'd just cooperate and tell us where to find the map piece.,そのまま、<span class='scene-font-spword'>空図の欠片</span>の場所も、<br>あっさり話してくれるといいけど……,如果她能直截了当地告诉我们<span class='scene-font-spword'>空图碎片</span>的事情就好了。
11,"I doubt it'll go that easily. Depending on her mood, she might even try to make a deal with us.",一筋縄じゃあいかねぇだろうな……<br>場合によっちゃ、<br>交渉を持ちかけてくるかもしれねぇぞ。,事情应该不会这么顺利。我们或许还要采取一定的交涉手段。
12,One thing's for certain: she's a shrewd one to bargain with.,とにかく、<br>油断のならない相手なのは確かです。,总之是个不能放松警惕的对手。
13,"Even if we get information from her about the map piece, we should stay on guard.",<span class='scene-font-spword'>空図の欠片</span>の在処を聞き出すにしても、<br>十分に警戒したほうが良さそうですね。,即便我们从她那里得知了<span class='scene-font-spword'>空图碎片</span>的所在地，最好也要保持高度的警惕。
14,The crew braces themselves as they push on through the billowing dust clouds of the desert.,<span class='scene-font-katari'>一行は各々気を引き締めながら、</span><br><span class='scene-font-katari'>砂埃の逆巻く砂漠を進んでいく。</span>,<span class='scene-font-katari'>一行人各自都打起了精神，继续在黄沙漫天的沙漠中前进。
info,1,1,scene_cp70_q4_s10
